$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
14,2,0,11,52,43,0,11,12,0.955128205,467,0.166666667,1,0.5,0.276923077,2,3,31.5,12,2.2143,1
20.11,1.03,0.0,28.6,75.96,208.02,2.04,16.52,10.12,0.76,763.04,0.29,3.7,0.28,0.21,0.0,0.0,25.69,5.44,1.71,5
8,2,0,18,41,0,5,15,8,0.642857143,218,1,1,0.833333333,0.28125,1,1,25.75,1,0.75,3
4,2,0,4,18,0,1,3,2,0.555555556,116,0.333333333,0,0.571428571,0.45,0,0,27.25,6,2,1
9,1,1,12,51,0,1,11,6,0.714285714,316,0.571428571,1,0,0.377777778,0,0,33.33333333,3,1.6667,2
5,2,0,11,18,10,4,9,5,2,129,0,0,0.909090909,0.4,1,1,24.8,1,0.6,1
153,1,0,68,250,8092,49,61,50,0.743421053,8270,0.807692308,10,0,0.145559211,0,0,52.88235294,12,2.6275,11
12.48,1.0,8.37,54.93,28.81,69.83,40.02,11.61,30.91,0.89,281.17,0.7,6.88,0.0,0.25,0.4,0.32,11.32,4.3,1.49,1
5,2,0,9,8,10,0,9,5,2,22,0,0,0.692307692,0.44,0,0,3.4,1,0.8,5
4,2,0,7,10,6,4,5,4,2,28,0,0,0.9375,0.392857143,0,0,6,1,0.5,1
79.28,1.48,0.0,6.04,86.37,259.36,2.36,5.57,5.8,0.98,7222.39,0.37,0.96,0.21,0.39,0.91,0.56,141.12,67.65,6.93,5
5,1,0,6,9,0,2,4,4,0.25,37,1,1,0,0.433333333,0,0,6.2,1,0.8,2
7,2,0,21,44,0,5,18,6,0.5,427,1,1,0.857142857,0.387755102,1,2,59.42857143,2,0.8571,3
7,2,1,8,13,0,1,7,7,0.166666667,71,1,1,0.571428571,0.476190476,0,0,9,1,0.8571,2
2,1,0,6,13,1,1,5,2,2,53,0,0,0,0.5,0,0,25.5,1,0.5,1
9,2,0,9,55,2,0,9,6,0.583333333,476,1,0,0.6,0.377777778,2,2,51.55555556,9,3.1111,1
43,2,0,44,52,897,0,44,41,0.011904762,340,1,0,0.505882353,0.06760411,0,0,6.860465116,4,1.0698,1
10,2,0,9,46,0,1,8,8,0.555555556,296,0.5,1,0.75,0.385714286,0,0,28.2,9,2.6,3
9,1,0,2,27,18,0,2,7,0.825,236,0.4,0,0,0.4,0,0,24.66666667,5,1.8889,2
7.75,1.85,4.53,30.06,21.07,4096.15,5.71,9.45,28.83,1.8,1444.63,0.78,1.28,0.08,0.26,0.74,0.98,20.67,1.53,1.17,2
19.09,1.0,16.01,33.44,38.34,241.85,50.51,9.3,30.31,0.91,219.72,0.37,5.92,0.0,0.36,0.43,0.99,16.23,3.87,1.38,1
37.81,1.0,9.02,34.26,40.06,649.57,61.76,14.59,17.1,1.39,184.53,0.21,1.32,0.0,0.19,0.21,0.07,1.84,2.21,1.4,1
4,2,0,9,8,6,4,7,4,2,23,0,0,0.9375,0.392857143,0,0,4.75,1,0.5,2
25.43,1.22,3.11,52.24,49.83,482.11,14.1,17.41,14.1,0.86,1278.62,0.99,1.33,0.06,0.26,0.03,0.13,34.99,4.78,2.5,4
41,1,0,48,41,820,43,41,41,2,41,0,0,0,0.069767442,0,0,0,1,1,1
32,1,39,65,56,418,54,14,31,0.913978495,405,0.916666667,7,0,0.175,1,1,11.28125,4,1.3438,1
35.06,1.63,11.16,30.42,32.86,3993.81,19.58,19.13,30.09,1.08,1349.94,0.77,0.27,0.88,0.4,0.51,0.94,25.71,1.55,2.45,4
6,4,0,6,14,0,2,4,5,0.9,239,1,0,0.75,0.375,1,3,38.5,10,3,1
5,1,1,3,6,10,1,2,5,2,13,0,0,0,0.48,0,0,1.6,1,0.8,2
39.33,1.16,0.0,21.75,89.86,5238.05,28.57,55.79,12.94,1.28,6320.73,0.51,2.51,0.23,0.36,0.0,0.0,48.91,2.02,1.14,7
40,1,0,19,78,0,3,16,39,0.025641026,208,1,1,0,0.105128205,0,0,4.175,1,0.95,1
5,2,0,6,11,8,4,4,5,0.875,37,0.5,0,0.909090909,0.4,0,0,6,1,0.6,1
5,1,0,15,5,10,11,4,5,2,5,0,0,0,0.68,0,0,0,1,1,2
27.0,1.0,9.48,17.96,111.61,3780.24,18.14,42.41,4.02,1.15,751.75,0.4,3.94,0.0,0.43,0.01,0.02,15.49,3.95,1.83,4
14,1,0,7,33,47,1,6,9,0.721153846,344,1,0,0,0.384615385,0,0,23,9,2.5714,1
10,1,9,26,11,31,19,8,10,0.777777778,54,1,1,0,0.271428571,0,0,4,1,0.9,3
5,2,0,5,10,8,0,5,5,0.75,31,0,0,0.692307692,0.44,0,0,5,1,0.8,2
4,2,0,4,18,0,1,3,2,0.555555556,128,0.333333333,0,0.571428571,0.45,0,0,30.25,7,2.25,1
14.86,1.47,6.32,32.68,55.5,401.96,38.7,13.51,5.45,0.87,309.38,0.92,4.23,0.1,0.23,0.35,0.67,19.32,4.64,1.41,3
20,1,1,7,31,110,2,5,19,0.881578947,160,1,2,0,0.18125,0,0,6.6,2,1.05,1
44,1,1,44,86,946,1,43,44,1,344,1,1,0,0.064646465,0,0,6.772727273,1,0.9773,1
13,1,6,17,33,48,12,6,12,0.847222222,255,0.833333333,2,0,0.241758242,0,0,18.15384615,7,1.4615,1
10,1,1,12,46,0,1,11,7,0.814814815,357,0.5,1,0,0.422222222,0,0,34.1,2,1.1,2
80.54,1.46,0.0,26.17,185.46,6364.5,41.7,23.94,28.84,0.98,1192.06,0.71,4.29,0.0,0.18,0.21,0.04,31.99,5.75,2.17,7
6.91,1.0,2.39,32.89,28.92,368.09,13.92,2.14,30.22,0.51,404.51,0.93,3.33,0.0,0.32,0.94,0.46,14.3,4.84,1.61,1
24.36,1.78,0.0,44.53,47.45,289.35,34.36,17.09,34.22,1.01,164.42,0.22,0.31,0.63,0.24,0.0,0.0,13.71,1.0,0.84,2
9,1,0,3,29,30,1,2,4,1,465,0.75,0,0,0.236111111,0,0,50.22222222,17,5.1111,1
9,1,2,26,45,10,2,24,8,0.8,374,0.4,2,0,0.365079365,0,0,40,1,0.8889,2
5,2,0,11,18,10,4,9,5,2,129,0,0,0.909090909,0.4,1,1,24.8,1,0.6,1
5,2,0,27,35,0,13,15,5,0.25,319,1,1,0.818181818,0.5,1,1,62.6,1,0.8,5
30.99,1.49,13.67,39.81,26.91,2673.21,29.53,12.45,40.81,0.96,979.64,0.48,1.3,0.45,0.36,0.62,0.82,34.25,1.61,2.4,4
10,1,0,15,81,9,0,15,5,0.747474747,659,0.727272727,3,0,0.44,0,0,63.8,3,1.2,2
25,1,0,13,59,300,1,12,25,2,220,0,0,0,0.16,0,0,7.8,2,1,2
9,2,0,18,44,6,4,14,9,0.763888889,415,1,1,0.529411765,0.25,0,0,44.11111111,2,1,7
52.03,2.59,0.0,9.17,92.14,177.62,0.69,9.42,9.12,0.55,9738.81,0.4,0.77,0.09,0.36,0.0,0.0,105.47,160.8,6.56,5
19,1,2,25,22,129,22,4,19,0.916666667,130,1,2,0,0.203007519,0,0,5.315789474,3,1.0526,1
0,1,0,5,0,0,5,0,0,2,60,0,0,0,0,0,0,0,0,0,5
5,3,0,14,36,8,0,14,5,0.75,322,1,0,0.714285714,0.44,1,1,63.2,1,0.8,2
4,1,0,15,4,6,14,1,4,1.333333333,14,0,0,0,0.55,0,0,0,1,1,2
5,1,0,10,39,10,1,9,2,0.75,344,0,0,0,0.3,0,0,67.6,4,1.4,2
1,1,0,2,1,0,2,0,0,2,352,0,0,0,0,0,0,276,0,0,6
84.56,1.97,0.63,38.12,84.13,3626.75,24.31,24.49,8.93,1.58,6751.75,0.5,3.5,0.2,0.36,0.16,0.87,26.71,4.97,1.83,5
46.78,1.27,0.0,26.92,10.14,1410.8,3.63,18.89,43.63,0.91,1024.4,0.27,2.6,0.37,0.18,0.0,0.0,10.87,1.52,0.94,4
5,2,0,11,18,10,4,9,5,2,130,0,0,0.909090909,0.4,1,1,25,1,0.6,1
32.26,1.23,0.0,50.97,132.94,3097.5,20.35,10.15,2.7,1.56,1122.25,0.17,1.27,0.0,0.11,0.03,0.45,141.59,3.67,1.68,6
3,1,0,9,3,3,6,3,3,2,3,0,0,0,0.933333333,0,0,0,1,1,1
8.98,1.0,0.0,22.09,102.17,895.31,2.33,24.71,17.57,0.72,951.76,0.93,5.73,0.0,0.47,0.0,0.0,28.6,4.5,1.33,4
29.5,1.0,4.86,17.66,54.22,335.76,46.47,12.94,30.64,0.83,388.85,0.65,5.99,0.0,0.18,0.91,0.31,6.75,2.14,1.22,1
3,1,0,5,12,0,0,5,3,0.875,61,0.75,1,0,0.555555556,0,0,18,4,1.6667,1
28,1,3,8,55,0,3,5,28,0,162,1,1,0,0.178571429,0,0,4.75,1,0.9643,1
6,2,0,9,15,11,3,8,5,0.8,73,1,0,0.909090909,0.4,0,0,10.83333333,4,1,1
9,2,0,9,26,24,1,9,5,0.85,119,1,2,0.529411765,0.296296296,0,0,11.66666667,2,1,1
40,1,0,73,40,780,63,16,40,2,40,0,0,0,0.1875,0,0,0,1,1,1
6,3,0,7,12,0,1,6,6,0,98,1,2,0.736842105,0.527777778,0,0,15,1,0.8333,2
17,1,0,5,17,136,3,2,17,2,17,0,0,0,0.210084034,0,0,0,1,1,1
5,2,0,9,13,8,4,7,5,0.75,41,1,0,0.909090909,0.4,0,0,7,1,0.6,4
114.83,1.53,0.0,27.32,30.06,1640.32,6.57,17.7,19.99,1.29,1362.17,0.03,1.63,0.0,0.09,0.02,0.39,274.55,6.58,1.44,6
3,1,0,6,3,3,2,4,3,1.5,5,0,0,0,0.583333333,0,0,0,1,1,1
12.48,1.0,8.37,54.93,28.81,69.83,40.02,11.61,30.91,0.89,281.17,0.7,6.88,0.0,0.25,0.4,0.32,11.32,4.3,1.49,1
84.56,1.97,0.63,38.12,84.13,3626.75,24.31,24.49,8.93,1.58,6751.75,0.5,3.5,0.2,0.36,0.16,0.87,26.71,4.97,1.83,5
20.11,1.03,0.0,28.6,75.96,208.02,2.04,16.52,10.12,0.76,763.04,0.29,3.7,0.28,0.21,0.0,0.0,25.69,5.44,1.71,5
52.03,2.59,0.0,9.17,92.14,177.62,0.69,9.42,9.12,0.55,9738.81,0.4,0.77,0.09,0.36,0.0,0.0,105.47,160.8,6.56,5
79.28,1.48,0.0,6.04,86.37,259.36,2.36,5.57,5.8,0.98,7222.39,0.37,0.96,0.21,0.39,0.91,0.56,141.12,67.65,6.93,5
80.54,1.46,0.0,26.17,185.46,6364.5,41.7,23.94,28.84,0.98,1192.06,0.71,4.29,0.0,0.18,0.21,0.04,31.99,5.75,2.17,7
8.98,1.0,0.0,22.09,102.17,895.31,2.33,24.71,17.57,0.72,951.76,0.93,5.73,0.0,0.47,0.0,0.0,28.6,4.5,1.33,4
84.56,1.97,0.63,38.12,84.13,3626.75,24.31,24.49,8.93,1.58,6751.75,0.5,3.5,0.2,0.36,0.16,0.87,26.71,4.97,1.83,5
114.83,1.53,0.0,27.32,30.06,1640.32,6.57,17.7,19.99,1.29,1362.17,0.03,1.63,0.0,0.09,0.02,0.39,274.55,6.58,1.44,6
6.91,1.0,2.39,32.89,28.92,368.09,13.92,2.14,30.22,0.51,404.51,0.93,3.33,0.0,0.32,0.94,0.46,14.3,4.84,1.61,1
114.83,1.53,0.0,27.32,30.06,1640.32,6.57,17.7,19.99,1.29,1362.17,0.03,1.63,0.0,0.09,0.02,0.39,274.55,6.58,1.44,6
114.83,1.53,0.0,27.32,30.06,1640.32,6.57,17.7,19.99,1.29,1362.17,0.03,1.63,0.0,0.09,0.02,0.39,274.55,6.58,1.44,6
35.06,1.63,11.16,30.42,32.86,3993.81,19.58,19.13,30.09,1.08,1349.94,0.77,0.27,0.88,0.4,0.51,0.94,25.71,1.55,2.45,4
27.0,1.0,9.48,17.96,111.61,3780.24,18.14,42.41,4.02,1.15,751.75,0.4,3.94,0.0,0.43,0.01,0.02,15.49,3.95,1.83,4
35.06,1.63,11.16,30.42,32.86,3993.81,19.58,19.13,30.09,1.08,1349.94,0.77,0.27,0.88,0.4,0.51,0.94,25.71,1.55,2.45,4
35.06,1.63,11.16,30.42,32.86,3993.81,19.58,19.13,30.09,1.08,1349.94,0.77,0.27,0.88,0.4,0.51,0.94,25.71,1.55,2.45,4
19.09,1.0,16.01,33.44,38.34,241.85,50.51,9.3,30.31,0.91,219.72,0.37,5.92,0.0,0.36,0.43,0.99,16.23,3.87,1.38,1
7.75,1.85,4.53,30.06,21.07,4096.15,5.71,9.45,28.83,1.8,1444.63,0.78,1.28,0.08,0.26,0.74,0.98,20.67,1.53,1.17,2
7.75,1.85,4.53,30.06,21.07,4096.15,5.71,9.45,28.83,1.8,1444.63,0.78,1.28,0.08,0.26,0.74,0.98,20.67,1.53,1.17,2
29.5,1.0,4.86,17.66,54.22,335.76,46.47,12.94,30.64,0.83,388.85,0.65,5.99,0.0,0.18,0.91,0.31,6.75,2.14,1.22,1
37.81,1.0,9.02,34.26,40.06,649.57,61.76,14.59,17.1,1.39,184.53,0.21,1.32,0.0,0.19,0.21,0.07,1.84,2.21,1.4,1
37.81,1.0,9.02,34.26,40.06,649.57,61.76,14.59,17.1,1.39,184.53,0.21,1.32,0.0,0.19,0.21,0.07,1.84,2.21,1.4,1
39.33,1.16,0.0,21.75,89.86,5238.05,28.57,55.79,12.94,1.28,6320.73,0.51,2.51,0.23,0.36,0.0,0.0,48.91,2.02,1.14,7
80.54,1.46,0.0,26.17,185.46,6364.5,41.7,23.94,28.84,0.98,1192.06,0.71,4.29,0.0,0.18,0.21,0.04,31.99,5.75,2.17,7
30.99,1.49,13.67,39.81,26.91,2673.21,29.53,12.45,40.81,0.96,979.64,0.48,1.3,0.45,0.36,0.62,0.82,34.25,1.61,2.4,4
25.43,1.22,3.11,52.24,49.83,482.11,14.1,17.41,14.1,0.86,1278.62,0.99,1.33,0.06,0.26,0.03,0.13,34.99,4.78,2.5,4
7.75,1.85,4.53,30.06,21.07,4096.15,5.71,9.45,28.83,1.8,1444.63,0.78,1.28,0.08,0.26,0.74,0.98,20.67,1.53,1.17,2
46.78,1.27,0.0,26.92,10.14,1410.8,3.63,18.89,43.63,0.91,1024.4,0.27,2.6,0.37,0.18,0.0,0.0,10.87,1.52,0.94,4
84.56,1.97,0.63,38.12,84.13,3626.75,24.31,24.49,8.93,1.58,6751.75,0.5,3.5,0.2,0.36,0.16,0.87,26.71,4.97,1.83,5
114.83,1.53,0.0,27.32,30.06,1640.32,6.57,17.7,19.99,1.29,1362.17,0.03,1.63,0.0,0.09,0.02,0.39,274.55,6.58,1.44,6
35.06,1.63,11.16,30.42,32.86,3993.81,19.58,19.13,30.09,1.08,1349.94,0.77,0.27,0.88,0.4,0.51,0.94,25.71,1.55,2.45,4
84.56,1.97,0.63,38.12,84.13,3626.75,24.31,24.49,8.93,1.58,6751.75,0.5,3.5,0.2,0.36,0.16,0.87,26.71,4.97,1.83,5
32.26,1.23,0.0,50.97,132.94,3097.5,20.35,10.15,2.7,1.56,1122.25,0.17,1.27,0.0,0.11,0.03,0.45,141.59,3.67,1.68,6
24.36,1.78,0.0,44.53,47.45,289.35,34.36,17.09,34.22,1.01,164.42,0.22,0.31,0.63,0.24,0.0,0.0,13.71,1.0,0.84,2
114.83,1.53,0.0,27.32,30.06,1640.32,6.57,17.7,19.99,1.29,1362.17,0.03,1.63,0.0,0.09,0.02,0.39,274.55,6.58,1.44,6
14.86,1.47,6.32,32.68,55.5,401.96,38.7,13.51,5.45,0.87,309.38,0.92,4.23,0.1,0.23,0.35,0.67,19.32,4.64,1.41,3
6,1,0,5,34,0,1,4,6,0.4,211,1,1,0,0.5,0,0,33.5,2,1.1667,0
5,1,0,32,5,10,32,0,5,2,5,0,0,0,0.666666667,0,0,0,1,1,0
2,1,0,4,5,1,1,3,2,2,20,0,0,0,0.5,0,0,9,4,2,0
16,1,0,11,52,112,11,0,12,0.826666667,854,0.533333333,0,0,0.226666667,0,0,51.4375,18,4.5625,0
4,2,0,6,7,6,4,4,4,2,20,0,0,0.9375,0.416666667,0,0,4,1,0.5,0
20,2,0,8,27,118,5,3,17,0.473684211,129,1,1,0.547619048,0.316666667,1,3,5.4,1,0.95,0
3,1,0,6,3,3,6,0,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
13,2,1,5,18,58,1,4,13,0.666666667,103,1,1,0.633333333,0.461538462,0,0,6.846153846,4,1.4615,0
7,1,0,2,14,0,0,2,7,0.416666667,63,1,0,0,0.857142857,0,0,7.714285714,1,0.8571,0
16,2,0,3,24,106,1,2,11,0.333333333,151,1,1,0.605263158,0.5,1,6,8.25,2,1.0625,0
3,2,0,2,14,0,1,1,3,0,42,1,0,0.666666667,0.555555556,0,0,12.66666667,1,0.6667,0
6,1,0,7,24,0,1,6,6,0.4,91,1,1,0,0.458333333,0,0,13.83333333,2,1,0
3,2,0,5,6,3,4,3,3,2,17,0,0,0.967741935,0.533333333,0,0,4.666666667,1,0.3333,0
