ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC,VG_avg,VG_max,VG_sum,CompilationUnit,bug
0,6.75,29,54,9.25,32,74,1.75,5,14,0,0,0,0,8,8,8,1,3,3,3,0,0,0,2,4,16,128,2.875,7,23,1,0
0,12.5,13,25,16,18,32,2,3,4,0,0,0,0,2,2,2,1,1,1,1,0,0,0,3,4,6,55,4,4,8,1,0
0,5.333333333,10,16,12.66666667,29,38,3,6,9,0,0,0,0,3,3,3,1,0,0,0,0,0,0,1,2,3,70,4.333333333,9,13,1,0
0,7.333333333,16,88,9.666666667,28,116,2.083333333,5,25,0,0,0,0,12,12,12,1,0,0,0,0,0,0,1.333333333,2,16,174,2.833333333,8,34,1,0
4,6.210526316,27,118,9.894736842,55,188,1.789473684,4,34,8,8,8,0,18,18,18,1,0,0,0,1,1,1,0.578947368,2,11,277,2.421052632,11,46,1,0
0,1,1,2,5,8,10,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1.5,2,3,26,1,1,2,1,0
0,1.333333333,4,8,3.666666667,12,22,1.166666667,2,7,1,2,2,0,3,3,6,1,0,0,0,0,0,0,1,3,6,54,1.333333333,3,8,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,3,3,3,0,0,0,1.444444444,4,13,15,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,16,0,0,0,0,0,0,19,0,0,0,1,0
0,5.090909091,22,168,8.484848485,32,280,1.727272727,6,57,4.333333333,11,13,0,10.66666667,29,32,1,0.333333333,1,1,0.333333333,1,1,1,3,33,386,2.96969697,15,98,1,0
0,4,7,12,8.333333333,13,25,1.666666667,3,5,1,1,1,0,3,3,3,1,0,0,0,0,0,0,0.666666667,1,2,45,2,3,6,1,0
1,4.777777778,12,43,5.111111111,14,46,1.222222222,2,11,6,6,6,0,9,9,9,1,0,0,0,0,0,0,0.888888889,3,8,82,1.111111111,2,10,1,0
0,8.5,14,17,5.5,9,11,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,23,1,1,2,1,0
4,4.714285714,28,99,6.80952381,47,143,1.380952381,3,29,6,6,6,0,21,21,21,1,0,0,0,0,0,0,0.523809524,2,11,216,1.761904762,6,37,1,0
2,4.058823529,12,69,6.823529412,25,116,1.705882353,5,29,5,5,5,0,17,17,17,1,0,0,0,0,0,0,0.705882353,2,12,177,2.470588235,6,42,1,0
0,1.333333333,2,4,2.333333333,3,7,1,1,3,0,0,0,0,1.5,2,3,1,0,0,0,0,0,0,1.666666667,3,5,23,1.333333333,2,4,1,0
4,5.461538462,29,142,9.461538462,43,246,1.538461538,4,40,7.5,13,15,0,13,25,26,1,0.5,1,1,0,0,0,0.730769231,2,19,346,2.538461538,7,66,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,11,11,0,0,0,0,0,0,14,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,0,0,0,0,0,0,0.444444444,1,4,12,0,0,0,1,0
0,1.25,2,5,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,1.25,2,5,23,1.25,2,5,1,0
1,2.888888889,10,52,5.222222222,25,94,1.444444444,4,26,1,1,1,0,9,9,9,1,5,5,5,9,9,9,0.666666667,3,12,168,2.055555556,7,37,1,0
0,5.117647059,18,87,7,18,119,1.411764706,3,24,5,5,5,0,12,12,12,1,5,5,5,5,5,5,0.647058824,1,11,183,1.529411765,3,26,1,0
0,4.5,17,18,5.25,18,21,1,3,4,2,2,2,0,4,4,4,1,0,0,0,0,0,0,1.25,2,5,41,1.25,4,5,1,0
0,2.666666667,6,8,3.666666667,7,11,1.666666667,3,5,1,1,1,0,3,3,3,1,0,0,0,0,0,0,2,3,6,28,1.666666667,3,5,1,0
0,2.4,6,12,5.6,18,28,1.4,3,7,2,2,2,0,5,5,5,1,0,0,0,0,0,0,1.8,3,9,52,2.8,7,14,1,0
0,3.6,5,18,7.2,10,36,1.6,2,8,3,3,3,0,5,5,5,1,4,4,4,0,0,0,1,4,5,59,3,4,15,1,0
0,6.111111111,33,55,15.77777778,83,142,1.666666667,3,15,8,15,16,0,4.5,7,9,1,0,0,0,0,0,0,0.777777778,2,7,190,4.666666667,19,42,1,0
0,1.5,2,3,3,5,6,1,1,2,3,3,3,0,2,2,2,1,0,0,0,0,0,0,1.5,3,3,26,1,1,2,1,0
0,3.5,4,7,10.5,16,21,2,2,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,3,4,6,34,4,6,8,1,0
0,0.666666667,1,2,1,1,3,1,1,3,3,3,3,0,3,3,3,1,0,0,0,0,0,0,0.666666667,1,2,15,1,1,3,1,0
14,5.118644068,17,302,7.983050847,35,471,1.677966102,4,99,6.5,26,26,0,14.5,52,58,1,0.25,1,1,0.25,1,1,0.745762712,4,44,679,2.084745763,13,123,1,0
4,3.222222222,13,58,5.888888889,24,106,1.555555556,4,28,12,12,12,0,18,18,18,1,0,0,0,0,0,0,0.833333333,3,15,186,1.611111111,4,29,1,0
0,5,10,25,6,11,30,1.8,3,9,0,0,0,0,3,3,3,1,1,1,1,2,2,2,4.2,5,21,53,2.4,4,12,1,0
0,0.166666667,1,3,1.444444444,3,26,1,1,18,2,2,2,0,18,18,18,1,0,0,0,0,0,0,0.333333333,2,6,70,1,1,18,1,0
0,15.75,80,126,22.625,118,181,2.625,6,21,1.5,3,3,0,0.5,1,1,1,0,0,0,3.5,7,7,3,6,24,219,6.875,32,55,1,0
0,1.555555556,4,14,6,18,54,1.666666667,2,15,0,0,0,0,0,0,0,1,0,0,0,9,9,9,2.888888889,7,26,82,2.111111111,5,19,1,0
0,1.6,4,8,1.6,4,8,1,1,5,2,2,2,0,5,5,5,1,0,0,0,0,0,0,1,1,5,27,1,1,5,1,0
0,1,1,2,5.5,10,11,2,3,4,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2.5,3,5,23,2.5,4,5,1,0
0,3.5,11,21,4.833333333,13,29,1.166666667,2,7,0,0,0,0,1,1,1,1,0,0,0,5,5,5,0.666666667,1,4,57,2.333333333,7,14,1,0
1,4.428571429,11,62,7.785714286,25,109,1.857142857,6,26,2,4,4,0,3.5,5,7,1,0,0,0,3.5,7,7,1.642857143,5,23,178,3.428571429,12,48,1,0
1,4,8,20,7.6,17,38,2.2,6,11,0,0,0,0,5,5,5,1,1,1,1,0,0,0,0.4,1,2,65,2,4,10,1,0
3,2.8125,16,90,7.25,44,232,1.84375,5,59,7,14,14,0,14.5,28,29,1,0,0,0,1.5,3,3,1.21875,4,39,328,2.625,9,84,1,0
0,5.75,12,23,8.25,18,33,1.75,3,7,2,2,2,0,4,4,4,1,0,0,0,0,0,0,0,0,0,55,2,4,8,1,0
3,10.08108108,60,373,15.18918919,75,562,2.378378378,7,88,16,16,16,0,36,36,36,1,9,9,9,1,1,1,0.783783784,3,29,724,4,21,148,1,0
4,5.142857143,34,108,10.38095238,63,218,1.904761905,8,40,5,7,10,0,10.5,13,21,1,1.5,3,3,0,0,0,0.666666667,3,14,307,2.238095238,9,47,1,0
1,7.428571429,33,52,12.14285714,51,85,2.285714286,6,16,1,1,1,0,7,7,7,1,0,0,0,0,0,0,0.142857143,1,1,124,3.142857143,12,22,1,0
5,7.666666667,63,253,10.48484848,62,346,1.848484848,6,61,6.5,12,13,0,16,28,32,1,4,8,8,0.5,1,1,0.727272727,3,24,486,2.272727273,7,75,1,0
1,8,31,72,12.33333333,41,111,2.777777778,7,25,2.5,5,5,0,4.5,8,9,1,0.5,1,1,0,0,0,0.777777778,2,7,169,3.111111111,7,28,1,0
0,1.25,2,5,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,1.25,2,5,23,1.25,2,5,1,0
0,3.125,8,25,6,19,48,2,4,16,1,1,1,0,8,8,8,1,0,0,0,0,0,0,0.875,2,7,76,2,4,16,1,0
0,0.666666667,1,2,1,1,3,1,1,3,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,13,1,1,3,1,0
0,2.533333333,8,38,3.933333333,14,59,1.333333333,3,20,1,1,1,0,2,2,2,1,7,7,7,13,13,13,0.933333333,3,14,110,1.666666667,5,25,1,0
0,1.333333333,2,4,1.666666667,2,5,1,1,3,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,15,1,1,3,1,0
0,0,0,0,1,1,5,1,1,5,2,2,2,0,5,5,5,1,0,0,0,0,0,0,0.4,1,2,21,1,1,5,1,0
0,5.666666667,22,34,7.833333333,37,47,1.5,4,9,0,0,0,0,0,0,0,1,1,1,1,6,6,6,2.333333333,5,14,67,3,11,18,1,0
0,6.071428571,31,85,9.071428571,36,127,2.071428571,4,29,1,1,2,0,7,12,14,1,2,4,4,0,0,0,1.214285714,3,17,180,2.928571429,8,41,1,0
0,6,15,48,11.375,29,91,2.625,4,21,0.5,1,1,0,4,6,8,1,1.5,3,3,0,0,0,1.375,3,11,129,3.625,7,29,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,3,5,0,0,0,1,0
0,5,17,65,7.692307692,21,100,1.923076923,4,25,0.5,1,1,0,6.5,11,13,1,2,4,4,0,0,0,1.461538462,3,19,152,2.384615385,6,31,1,0
0,2.5,4,5,10,17,20,2.5,4,5,2,2,2,0,2,2,2,1,0,0,0,0,0,0,1,1,2,35,3.5,6,7,1,0
0,1.384615385,5,18,2.230769231,9,29,1.153846154,2,15,2,2,2,0,13,13,13,1,0,0,0,0,0,0,1.307692308,4,17,68,1.230769231,3,16,1,0
0,9.733333333,28,146,16.26666667,52,244,2.266666667,4,34,0,0,0,0,15,15,15,1,6,6,6,0,0,0,2.2,3,33,314,4.666666667,16,70,1,0
0,8.75,19,35,28.75,71,115,2.5,3,10,0,0,0,0,0,0,0,1,9,9,9,4,4,4,0.25,1,1,140,8,18,32,1,0
0,9,18,18,17,33,34,2,3,4,0,0,0,0,2,2,2,1,3,3,3,0,0,0,1,2,2,48,4,7,8,1,1
0,0.833333333,2,5,2.166666667,6,13,1,1,6,2,2,2,0,6,6,6,1,0,0,0,0,0,0,0.333333333,1,2,31,1.333333333,3,8,1,1
0,4.125,12,33,8.75,22,70,1.625,3,13,0.5,1,1,0,1.5,2,3,1,1.5,3,3,2.5,5,5,1.25,2,10,102,3,6,24,1,2
2,10.70588235,100,182,17.35294118,132,295,1.941176471,4,33,9,9,9,0,17,17,17,1,0,0,0,0,0,0,1.352941176,4,23,348,6.411764706,52,109,1,0
0,1.315789474,11,25,4.473684211,21,85,1,1,19,7,7,7,0,18,18,18,1,31,31,31,1,1,1,0.842105263,7,16,167,2.105263158,8,40,1,0
0,3.5,7,7,6.5,12,13,2,3,4,0,0,0,0,2,2,2,1,1,1,1,0,0,0,1.5,3,3,29,2,3,4,1,0
0,2.5,9,15,4.166666667,9,25,1.166666667,2,7,1,1,1,0,5,5,5,1,11,11,11,1,1,1,0.833333333,2,5,58,1.333333333,2,8,1,0
0,9,25,54,14.66666667,44,88,2.166666667,5,13,1,1,1,0,6,6,6,1,6,6,6,0,0,0,0.333333333,1,2,126,3.5,11,21,1,0
0,1.25,3,5,1.75,4,7,0.75,1,3,0,0,0,0,4,4,4,1,0,0,0,0,0,0,1.5,3,6,21,1,2,4,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,11,11,0,0,0,0,0,0,14,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0
1,11.66666667,26,35,16.66666667,25,50,2.666666667,5,8,0,0,0,0,3,3,3,1,0,0,0,0,0,0,2.333333333,5,7,62,4,6,12,1,0
0,0.75,2,3,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,0.75,2,3,23,1.25,2,5,1,0
0,4.2,14,63,7.6,28,114,1.666666667,4,25,2,4,4,0,1.5,2,3,1,4,8,8,6,12,12,1.4,3,21,167,3,8,45,1,0
3,3.416666667,27,41,7.833333333,59,94,1.083333333,2,13,10,10,10,0,12,12,12,1,0,0,0,0,0,0,0.75,3,9,144,1.75,6,21,1,0
0,13.5,21,27,16,26,32,1.5,2,3,2,2,2,0,2,2,2,1,0,0,0,0,0,0,1,2,2,51,2.5,4,5,1,0
1,13.5,21,54,15.75,30,63,1.75,2,7,6,6,6,0,4,4,4,1,0,0,0,0,0,0,0.75,3,3,89,2.5,5,10,1,0
2,5.416666667,31,65,7.5,41,90,1.5,5,18,4.5,9,9,0,6,11,12,1,1,2,2,0,0,0,0.583333333,1,7,141,1.916666667,7,23,1,0
2,3.583333333,9,43,6.416666667,19,77,1.083333333,2,13,4,4,4,0,11,11,11,1,0,0,0,0,0,0,1,3,12,122,1.333333333,3,16,1,0
0,1.6,2,8,1.8,4,9,1,1,5,2,2,2,0,5,5,5,1,0,0,0,0,0,0,1.2,3,6,26,1.2,2,6,1,0
0,3.75,10,30,8.125,15,65,1.5,3,12,4,4,4,0,8,8,8,1,0,0,0,0,0,0,0.5,2,4,96,2.625,5,21,1,0
0,10.2,18,51,8,16,40,1.2,2,6,3,3,3,0,5,5,5,1,0,0,0,0,0,0,0.4,1,2,70,1.6,4,8,1,3
0,1.666666667,3,5,4,9,12,1.666666667,3,5,2,2,2,0,3,3,3,1,0,0,0,0,0,0,1.666666667,2,5,30,2.333333333,4,7,1,0
0,0.25,1,1,0.75,2,3,1,1,4,0,0,0,0,4,4,4,1,0,0,0,0,0,0,1,3,4,16,1,1,4,1,0
0,3.333333333,10,10,7.333333333,20,22,2,4,6,2,2,2,0,3,3,3,1,0,0,0,0,0,0,1,1,3,36,2.333333333,5,7,1,0
0,7.428571429,21,52,7.857142857,18,55,1,1,7,2,2,2,0,7,7,7,1,3,3,3,0,0,0,0.571428571,1,4,86,1.857142857,4,13,1,0
1,7.714285714,21,54,9.142857143,18,64,1.142857143,2,8,2,2,2,0,7,7,7,1,3,3,3,0,0,0,0.571428571,1,4,96,1.857142857,4,13,1,0
2,9.235294118,40,157,13.88235294,48,236,2.294117647,4,39,4,4,4,0,17,17,17,1,1,1,1,0,0,0,0.764705882,3,13,292,3.058823529,10,52,1,0
1,4.5,11,27,8.666666667,17,52,1.833333333,3,11,0,0,0,0,6,6,6,1,3,3,3,0,0,0,0.5,1,3,78,2.166666667,4,13,1,0
7,7.6,45,114,11.2,69,168,1.333333333,3,20,3,9,9,0,5,11,15,1,0.333333333,1,1,0,0,0,0.8,3,12,225,1.4,3,21,1,0
9,12.64705882,77,430,19.67647059,146,669,1.382352941,3,47,4.142857143,16,29,0,4.857142857,11,34,1,1,7,7,0,0,0,0.676470588,3,23,805,3.441176471,27,117,1,0
4,5.636363636,30,62,9.636363636,52,106,1.727272727,4,19,2,2,2,0,11,11,11,1,0,0,0,0,0,0,1,2,11,150,2.545454545,12,28,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,15,0,0,0,0,0,0,18,0,0,0,1,0
1,4.964285714,36,139,5.571428571,44,156,1.321428571,3,37,3,6,6,0,11,18,22,1,6,12,12,3,6,6,0.5,3,14,243,2.5,12,70,1,1
0,5.333333333,18,32,9,36,54,1,1,6,0,0,0,0,4,4,4,1,0,0,0,2,2,2,0.5,1,3,77,1,1,6,1,0
15,7.588235294,34,258,7.764705882,44,264,1.588235294,3,54,15,15,15,0,34,34,34,1,5,5,5,0,0,0,0.5,3,17,371,1.529411765,5,52,1,1
0,0.571428571,1,4,0.714285714,1,5,1,1,7,1,1,1,0,7,7,7,1,0,0,0,0,0,0,1.142857143,3,8,25,1,1,7,1,0
0,0.285714286,2,2,1,4,7,1,1,7,1,1,1,0,7,7,7,1,0,0,0,0,0,0,1,2,7,29,1.142857143,2,8,1,0
0,0.4,2,6,1.333333333,4,20,1,1,15,5,5,5,0,15,15,15,1,0,0,0,0,0,0,0.6,3,9,60,1,1,15,1,0
0,6.166666667,27,37,12,61,72,1,1,6,0,0,0,0,4,4,4,1,0,0,0,2,2,2,0.5,1,3,95,1,1,6,1,0
1,1.95,5,39,3.2,14,64,1.05,2,21,3,3,3,0,20,20,20,1,0,0,0,0,0,0,0.95,2,19,116,1.45,6,29,1,3
0,0,0,0,0,0,0,1,1,11,0,0,0,0,11,11,11,1,0,0,0,0,0,0,1,1,11,27,1,1,11,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,0,11,11,11,0,0,0,0,0,0,21,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,18,0,0,0,0,0,0,0,0.611111111,3,11,28,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,1,1,4,8,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,12,0,0,0,0,0,0,0,0.583333333,1,7,21,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,1,2,5,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0.5,1,1,5,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,14,0,0,0,0,0,0,0,0.714285714,3,10,24,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,1,2,5,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,2,2,5,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,2,2,1,5,5,5,0,0,0,0,0,0,0,0.2,1,1,15,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0
0,1.583333333,9,19,5.166666667,26,62,1.583333333,3,19,0,0,0,0,0,0,0,1,15,15,15,12,12,12,0.833333333,2,10,114,1.916666667,5,23,1,0
0,3,6,6,4,7,8,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,18,1,1,2,1,0
0,1,8,8,2.375,13,19,1,2,8,0,0,0,0,8,8,8,1,0,0,0,0,0,0,0.375,2,3,58,1.25,4,10,1,0
0,0,0,0,0.866666667,11,13,1.066666667,2,16,7,7,7,0,15,15,15,1,0,0,0,0,0,0,0.8,4,12,63,1.133333333,3,17,1,0
0,1.285714286,9,9,2.285714286,11,16,1,2,7,0,0,0,0,7,7,7,1,0,0,0,0,0,0,0.285714286,1,2,38,1.142857143,3,8,1,0
0,1,2,3,1,2,3,1,1,3,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0.666666667,2,2,13,1,1,3,1,0
0,2.363636364,8,26,5.454545455,16,60,1.545454545,4,17,4,4,4,0,11,11,11,1,2,2,2,0,0,0,0.545454545,2,6,98,2.545454545,6,28,1,0
