ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC,VG_avg,VG_max,VG_sum,CompilationUnit,bug
0,3.5,15,35,7.9,35,79,1.8,5,18,5,5,5,0,8,8,8,1,6,6,6,2,2,2,0.1,1,1,115,2.8,9,28,1,0
0,2.777777778,12,25,10.22222222,16,92,1.777777778,2,16,0,0,0,0,1,1,1,1,1,1,1,8,8,8,3.111111111,7,28,145,2.222222222,5,20,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,0,0,0,0,0,0,0,0.857142857,3,6,14,0,0,0,1,0
0,4.571428571,9,32,7,15,49,1.714285714,3,12,2,2,2,0,7,7,7,1,0,0,0,0,0,0,1,2,7,72,2.285714286,5,16,1,0
0,4,11,24,8.833333333,39,53,1.5,2,9,0,0,0,0,1,1,1,1,0,0,0,5,5,5,1,3,6,73,1.833333333,4,11,1,0
0,1,1,1,7,7,7,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,2,2,13,3,3,3,1,0
0,4.666666667,19,42,6.777777778,16,61,1.444444444,2,13,0,0,0,0,9,9,9,1,5,5,5,0,0,0,2.888888889,4,26,113,2,4,18,1,2
0,15,24,45,23,30,69,3,4,9,0,0,0,0,3,3,3,1,1,1,1,0,0,0,2,4,6,96,4.666666667,7,14,1,0
0,5.333333333,10,16,12.66666667,29,38,3,6,9,0,0,0,0,3,3,3,1,0,0,0,0,0,0,1,2,3,64,4.333333333,9,13,1,0
0,8,18,120,12.73333333,29,191,2.133333333,4,32,0,0,0,0,15,15,15,1,0,0,0,0,0,0,2,5,30,259,3.133333333,10,47,1,0
11,6.545454545,19,216,10.45454545,38,345,1.787878788,4,59,14,14,14,0,32,32,32,1,0,0,0,1,1,1,0.787878788,2,26,479,2.303030303,9,76,1,2
0,1,1,2,5,8,10,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1.5,2,3,26,1,1,2,1,0
0,1.333333333,4,8,3.5,11,21,1.166666667,2,7,1,2,2,0,3,3,6,1,0,0,0,0,0,0,1,3,6,52,1.333333333,3,8,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,16,0,0,0,0,0,0,19,0,0,0,1,0
1,5.263157895,30,200,9.210526316,48,350,1.763157895,6,67,5,12,15,0,12.33333333,34,37,1,0.333333333,1,1,0.333333333,1,1,1.157894737,4,44,470,3.157894737,19,120,1,0
0,5.333333333,10,16,10.66666667,14,32,2,3,6,2,2,2,0,3,3,3,1,0,0,0,0,0,0,1,2,3,57,3,5,9,1,0
1,3.777777778,9,34,4.777777778,14,43,1.222222222,2,11,6,6,6,0,9,9,9,1,0,0,0,0,0,0,0.888888889,3,8,79,1.111111111,2,10,1,0
0,8.5,14,17,5.5,9,11,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,21,1,1,2,1,0
3,3.708333333,12,89,5.458333333,24,131,1.333333333,3,32,5,5,5,0,22,22,22,1,0,0,0,2,2,2,0.708333333,3,17,207,1.75,6,42,1,1
2,4.647058824,15,79,7.764705882,23,132,1.705882353,4,29,6,6,6,0,17,17,17,1,1,1,1,0,0,0,0.764705882,3,13,197,2.764705882,8,47,1,2
0,4.636363636,14,51,7.090909091,25,78,1.636363636,4,18,2,2,2,0,11,11,11,1,0,0,0,0,0,0,0.818181818,2,9,132,3.090909091,9,34,1,0
3,5,31,130,7.038461538,34,183,1.269230769,3,33,7,12,14,0,13,25,26,1,0,0,0,0,0,0,0.692307692,2,18,277,2.192307692,7,57,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,13,13,0,0,0,0,0,0,16,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,7,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,5,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,0,0,0,0,0,0,0.444444444,1,4,12,0,0,0,1,0
0,1.25,2,5,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,1.25,2,5,23,1.25,2,5,1,0
