$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
9,1,0,25,9,36,22,4,9,2,9,0,0,0,0.296296296,0,0,0,1,1,1
2,1,0,12,14,0,1,12,2,0,77,1,0,0,0.75,0,0,37,4,2,1
6.84,2.51,0.17,11.26,27.26,11.93,0.25,9.64,2.79,1.41,450.09,0.78,0.6,0.7,0.25,0.38,5.16,39.14,10.36,2.32,1
2.35,1.0,0.0,11.94,26.77,12.72,3.62,9.21,2.8,1.02,29.01,0.17,0.54,0.0,0.64,0.0,0.0,4.16,1.79,1.12,1
16,1,0,4,29,58,1,3,15,0.858333333,199,1,0,0,0.277777778,0,0,10.9375,9,1.5625,2
1,1,0,15,1,0,12,3,1,2,1,0,0,0,1,0,0,0,1,1,1
53,1,0,37,144,1172,9,30,47,0.941568047,1164,0.961538462,4,0,0.134615385,0,0,20.47169811,39,1.8302,4
25.62,2.14,0.0,29.14,39.84,336.73,6.03,19.25,17.09,1.45,789.35,0.88,0.82,0.51,0.4,0.0,0.0,28.12,36.1,1.47,2
14.57,3.24,0.0,7.95,50.2,19.09,6.81,18.56,41.63,1.14,1007.15,0.87,0.89,0.43,0.43,0.0,0.0,13.27,9.78,1.14,2
6,1,0,17,32,11,1,16,2,1.044444444,244,0.777777778,1,0,0.333333333,0,0,38.16666667,13,2.8333,1
8,1,0,11,56,20,1,10,4,0.714285714,468,1,1,0,0.261904762,0,0,57,31,5.125,3
8.98,2.18,0.0,37.37,28.27,19.4,0.07,36.79,3.0,0.87,289.59,0.3,0.0,0.07,0.3,0.46,1.37,33.77,3.17,0.88,2
12,1,0,29,64,38,1,28,11,0.818181818,394,1,2,0,0.238636364,0,0,31.33333333,11,2.0833,3
3.04,2.74,0.0,12.82,16.66,2.47,1.33,6.79,2.92,0.78,121.01,0.3,0.0,0.48,0.46,0.0,0.0,123.51,13.28,4.61,2
5.62,1.92,0.0,29.8,36.03,341.07,6.52,11.18,6.2,0.88,1075.03,0.97,2.76,0.31,0.54,0.0,0.0,53.62,29.99,1.93,2
11.4,1.77,0.0,14.96,39.51,38.86,1.15,12.55,9.96,0.28,611.35,0.8,0.03,0.58,0.33,0.23,0.32,81.3,32.63,6.27,2
7,1,0,9,17,13,1,8,3,0.666666667,69,1,1,0,0.25,0,0,8.571428571,2,0.8571,1
47,1,0,42,105,589,23,20,45,0.860869565,933,0.9,1,0,0.144927536,0,0,18.63829787,8,2.0426,1
12.79,3.12,0.02,6.28,27.14,452.38,11.21,8.96,14.78,1.12,207.47,0.14,0.71,0.24,0.41,0.47,5.05,19.69,4.53,1.54,1
4.04,1.03,0.0,26.27,34.29,103.39,8.46,17.36,19.63,0.14,144.83,0.52,0.35,0.23,0.7,0.0,0.0,19.75,6.29,1.68,1
15,1,0,26,77,99,0,26,6,0.357142857,445,1,0,0,0.314285714,0,0,28.6,19,2.6,2
26.99,1.0,0.0,39.15,95.53,91.35,14.6,18.67,15.15,1.79,218.76,0.07,0.14,0.0,0.47,0.0,0.0,25.3,7.23,2.62,1
11.8,1.08,0.0,10.06,90.29,9.53,1.68,9.36,9.68,0.86,648.61,0.87,0.51,0.04,0.39,0.0,0.0,49.21,19.05,1.42,4
24,2,0,28,87,150,2,26,18,0.873517787,595,0.727272727,0,0.361111111,0.2,0,0,23.33333333,16,2.9167,2
3,5,0,6,6,3,2,5,3,2,18,0,0,0.99047619,0.5,0,0,5,1,0.3333,2
27.41,1.74,0.0,35.44,65.42,467.35,2.12,18.53,34.93,0.8,726.03,0.9,0.17,0.13,0.33,0.0,0.0,26.24,14.53,1.99,2
4,1,0,13,26,2,2,11,2,0.5,147,1,0,0,0.333333333,0,0,35.25,12,3.5,1
3,2,0,10,16,3,0,10,3,2,56,0,0,0.75,0.555555556,0,0,17.66666667,4,1.6667,1
5.28,2.0,0.0,14.08,31.8,242.53,5.99,10.86,3.68,1.11,638.8,0.06,2.33,0.42,0.54,0.0,0.0,53.13,12.99,2.1,1
8,1,0,26,63,20,0,26,6,0.785714286,281,1,1,0,0.333333333,0,0,33.875,3,1,1
15,1,0,11,38,81,2,10,6,0.857142857,177,1,0,0,0.160714286,0,0,10.4,1,0.8667,5
44.39,1.26,0.0,30.46,138.95,141.57,8.0,28.38,31.05,0.91,1004.01,0.85,0.65,0.39,0.14,0.0,0.0,37.16,35.71,1.93,5
17,2,0,15,58,100,2,13,11,0.90625,446,1,0,0.464285714,0.3,0,0,24.76470588,12,2.0588,1
9,2,0,9,49,4,2,7,8,0.625,564,1,0,0.619047619,0.377777778,0,0,61.33333333,11,3,1
16.75,3.54,0.0,8.68,20.78,47.99,2.1,7.98,7.84,1.35,111.71,0.28,0.38,0.42,0.34,1.0,1.4,18.57,4.29,1.61,1
8,2,0,20,62,0,1,20,4,0.535714286,523,1,1,0.333333333,0.404761905,1,2,63.875,4,1.625,2
9,1,0,39,96,30,1,38,3,0.625,556,1,0,0,0.196428571,0,0,60.66666667,6,2.3333,3
44.34,2.69,0.0,35.73,133.63,1130.67,7.71,19.99,44.7,1.1,1035.78,0.85,0.89,0.3,0.29,0.0,0.0,10.4,37.27,1.42,3
27.78,1.99,0.0,20.18,33.78,286.41,3.36,16.95,25.4,1.19,288.84,0.06,0.46,0.44,0.55,0.0,0.0,17.26,15.81,1.64,1
8,1,0,17,38,20,1,17,3,0.642857143,191,1,1,0,0.244897959,0,0,22.625,6,1.625,1
31.91,1.75,0.0,22.44,96.8,504.05,6.09,11.44,31.01,0.68,144.23,1.0,0.56,0.04,0.28,0.0,0.0,28.67,14.55,1.82,2
34.62,1.08,0.0,36.27,26.66,550.12,7.04,10.52,26.39,1.42,595.99,0.4,0.87,0.0,0.63,0.14,0.62,14.11,4.39,1.79,1
20.6,2.03,0.0,24.86,81.56,189.65,1.21,15.34,17.83,0.82,774.62,0.7,0.14,0.01,0.5,0.31,1.16,20.15,17.96,1.7,1
5,1,0,15,38,2,1,14,3,0.625,374,1,0,0,0.35,0,0,73.4,19,5.6,2
14,1,0,8,27,35,3,5,14,0.743589744,165,1,2,0,0.255102041,0,0,10.35714286,5,1.5714,1
2,1,0,11,8,0,1,10,2,0,42,1,0,0,0.75,0,0,19.5,3,1.5,1
17.47,3.45,0.0,8.81,18.93,78.04,2.97,9.44,9.73,1.28,62.65,0.64,2.73,0.33,0.41,0.0,0.0,10.32,3.13,1.31,1
4,2,0,8,13,2,0,8,3,0.666666667,61,1,0,0.6,0.666666667,0,0,13.75,3,1,1
14,1,0,12,38,27,3,9,11,0.791208791,280,1,2,0,0.4,0,0,18.5,7,2,1
31.22,1.0,0.0,36.4,76.47,299.43,12.01,16.36,22.01,1.1,535.95,0.62,0.36,0.0,0.98,0.0,0.0,18.14,2.09,1.71,2
9,1,0,25,44,32,0,25,3,0.875,247,1,0,0,0.270833333,0,0,26,7,1.8889,1
36.7,1.54,0.0,15.4,1.92,174.2,4.56,8.7,10.05,0.74,677.71,0.38,0.11,0.05,0.59,0.19,0.07,11.96,8.78,2.34,1
30,2,0,14,74,299,2,12,28,0.898706897,594,1,2,0.317073171,0.172413793,0,0,18.26666667,22,2.0333,3
2,1,0,15,14,1,8,10,2,2,91,0,0,0,0.5,0,0,44.5,7,3.5,1
5,1,0,12,60,0,1,11,2,0.25,566,1,0,0,0.3125,0,0,112,39,8.2,4
35,1,0,13,36,493,13,0,35,0.941176471,225,1,0,0,0.297142857,0,0,4.942857143,1,0.9714,1
5,1,0,20,33,8,2,18,3,0.25,105,1,0,0,0.3,0,0,19.8,8,2,1
12.14,2.61,0.02,30.51,53.82,393.08,10.32,9.63,35.23,1.04,714.58,0.24,0.61,0.18,0.4,0.23,3.56,28.28,5.86,3.05,1
6.87,3.03,0.02,32.67,93.61,340.02,2.23,21.67,13.07,0.81,383.71,0.54,0.55,0.07,0.39,0.43,0.38,80.28,5.48,1.66,2
11.18,2.16,0.01,20.11,32.97,341.37,10.33,16.1,12.1,1.17,260.82,0.32,0.61,0.24,0.45,0.29,0.23,45.16,13.24,1.92,1
12.79,3.12,0.02,6.28,27.14,452.38,11.21,8.96,14.78,1.12,207.47,0.14,0.71,0.24,0.41,0.47,5.05,19.69,4.53,1.54,1
34.62,1.08,0.0,36.27,26.66,550.12,7.04,10.52,26.39,1.42,595.99,0.4,0.87,0.0,0.63,0.14,0.62,14.11,4.39,1.79,1
2.35,1.0,0.0,11.94,26.77,12.72,3.62,9.21,2.8,1.02,29.01,0.17,0.54,0.0,0.64,0.0,0.0,4.16,1.79,1.12,1
12.79,3.12,0.02,6.28,27.14,452.38,11.21,8.96,14.78,1.12,207.47,0.14,0.71,0.24,0.41,0.47,5.05,19.69,4.53,1.54,1
11.4,1.77,0.0,14.96,39.51,38.86,1.15,12.55,9.96,0.28,611.35,0.8,0.03,0.58,0.33,0.23,0.32,81.3,32.63,6.27,2
12.14,2.61,0.02,30.51,53.82,393.08,10.32,9.63,35.23,1.04,714.58,0.24,0.61,0.18,0.4,0.23,3.56,28.28,5.86,3.05,1
14.57,3.24,0.0,7.95,50.2,19.09,6.81,18.56,41.63,1.14,1007.15,0.87,0.89,0.43,0.43,0.0,0.0,13.27,9.78,1.14,2
16.75,3.54,0.0,8.68,20.78,47.99,2.1,7.98,7.84,1.35,111.71,0.28,0.38,0.42,0.34,1.0,1.4,18.57,4.29,1.61,1
31.91,1.75,0.0,22.44,96.8,504.05,6.09,11.44,31.01,0.68,144.23,1.0,0.56,0.04,0.28,0.0,0.0,28.67,14.55,1.82,2
12.14,2.61,0.02,30.51,53.82,393.08,10.32,9.63,35.23,1.04,714.58,0.24,0.61,0.18,0.4,0.23,3.56,28.28,5.86,3.05,1
31.22,1.0,0.0,36.4,76.47,299.43,12.01,16.36,22.01,1.1,535.95,0.62,0.36,0.0,0.98,0.0,0.0,18.14,2.09,1.71,2
12.79,3.12,0.02,6.28,27.14,452.38,11.21,8.96,14.78,1.12,207.47,0.14,0.71,0.24,0.41,0.47,5.05,19.69,4.53,1.54,1
6.84,2.51,0.17,11.26,27.26,11.93,0.25,9.64,2.79,1.41,450.09,0.78,0.6,0.7,0.25,0.38,5.16,39.14,10.36,2.32,1
4.04,1.03,0.0,26.27,34.29,103.39,8.46,17.36,19.63,0.14,144.83,0.52,0.35,0.23,0.7,0.0,0.0,19.75,6.29,1.68,1
44.34,2.69,0.0,35.73,133.63,1130.67,7.71,19.99,44.7,1.1,1035.78,0.85,0.89,0.3,0.29,0.0,0.0,10.4,37.27,1.42,3
12.14,2.61,0.02,30.51,53.82,393.08,10.32,9.63,35.23,1.04,714.58,0.24,0.61,0.18,0.4,0.23,3.56,28.28,5.86,3.05,1
11.8,1.08,0.0,10.06,90.29,9.53,1.68,9.36,9.68,0.86,648.61,0.87,0.51,0.04,0.39,0.0,0.0,49.21,19.05,1.42,4
27.78,1.99,0.0,20.18,33.78,286.41,3.36,16.95,25.4,1.19,288.84,0.06,0.46,0.44,0.55,0.0,0.0,17.26,15.81,1.64,1
27.78,1.99,0.0,20.18,33.78,286.41,3.36,16.95,25.4,1.19,288.84,0.06,0.46,0.44,0.55,0.0,0.0,17.26,15.81,1.64,1
26.99,1.0,0.0,39.15,95.53,91.35,14.6,18.67,15.15,1.79,218.76,0.07,0.14,0.0,0.47,0.0,0.0,25.3,7.23,2.62,1
