$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
50.8,2.61,0.02,79.97,197.42,784.67,66.48,16.47,29.73,1.69,1112.89,0.39,9.81,0.36,0.29,0.49,5.73,18.45,7.25,1.51,1
46.46,2.39,0.02,88.83,189.99,767.96,78.92,11.9,28.56,1.22,1158.37,0.46,8.36,0.3,0.25,0.84,3.87,13.56,7.24,2.36,1
37.93,3.08,0.01,54.25,144.7,515.06,65.4,19.36,29.18,1.06,1233.16,0.51,9.02,0.52,0.32,1.05,4.38,20.05,7.09,1.55,1
54.56,2.37,0.02,85.76,209.02,741.64,83.99,11.79,30.27,1.76,1043.85,0.51,10.37,0.31,0.24,0.05,6.0,12.16,7.14,2.18,1
47.14,2.43,0.02,81.16,203.55,538.2,65.14,20.91,30.22,1.15,1255.6,0.43,5.6,0.49,0.28,0.81,3.52,17.98,7.19,2.21,1
49.46,2.69,0.01,69.4,168.33,1402.68,69.47,17.33,27.21,1.53,1317.2,0.37,6.96,0.35,0.28,0.3,5.77,17.9,7.5,1.52,1
51.11,2.32,0.17,58.35,146.74,901.22,50.09,14.86,25.12,1.4,1055.61,0.32,8.73,0.36,0.31,0.11,3.29,22.4,5.03,1.45,1
43.53,2.54,0.0,48.06,104.69,883.5,50.98,20.94,25.35,1.12,1287.75,0.39,6.93,0.46,0.31,1.0,3.87,16.85,6.57,1.97,1
87.47,2.16,0.0,124.16,221.42,2695.98,89.98,16.19,25.93,1.85,1116.41,0.28,10.38,0.29,0.21,0.05,6.8,10.51,7.89,2.46,1
44.55,2.7,0.0,48.14,137.22,906.46,66.86,13.21,28.95,1.46,841.01,0.57,7.04,0.33,0.26,0.03,6.73,13.43,6.58,1.96,1
51.61,2.08,0.12,69.63,174.68,1252.56,47.22,12.78,27.16,1.76,799.6,0.47,9.79,0.31,0.35,0.05,3.07,18.14,6.57,2.14,1
