$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
4,1,0,8,17,0,3,5,3,0,116,1,0,0,0.5,0,0,27.75,2,1.25,1
30,1,0,20,104,87,5,16,22,0.748275862,1151,0.6,4,0,0.146153846,0,0,36.7,20,2.9,1
50.53,1.08,0.14,28.22,44.81,1565.8,4.24,17.47,45.17,1.8,1836.93,0.49,5.53,0.47,0.42,0.46,0.49,50.9,14.82,2.86,1
33.59,1.85,0.17,10.75,177.62,88.41,0.68,15.52,26.54,1.06,849.67,0.91,1.43,0.73,0.3,0.85,1.25,19.17,8.46,2.86,1
43.58,1.8,0.97,35.31,37.65,3107.65,3.56,37.6,19.99,1.06,3302.87,0.58,10.27,0.46,0.4,0.55,1.88,162.34,4.36,2.89,1
61.48,1.08,0.77,10.1,55.16,981.78,6.73,9.8,51.04,1.04,924.14,0.46,6.04,0.0,0.43,0.04,0.08,36.76,21.84,1.96,1
53.07,1.37,0.21,20.73,256.85,3693.89,6.28,50.71,26.7,1.52,3548.3,0.79,12.14,0.05,0.43,0.04,0.03,220.61,13.51,1.55,1
42.49,1.43,0.39,4.31,67.28,190.78,4.38,10.85,10.27,1.04,2713.03,0.38,0.39,0.04,0.54,0.06,0.0,131.35,9.22,1.3,1
56.37,1.87,0.39,23.75,89.83,2814.97,1.33,48.35,23.32,0.81,1177.68,0.83,11.51,0.35,0.42,0.26,0.36,234.16,7.25,2.21,1
42.77,1.36,0.0,46.68,293.98,3956.87,4.85,47.7,63.92,0.93,2622.39,0.7,14.36,0.06,0.26,0.08,0.29,82.11,27.45,1.91,1
14.92,1.2,0.04,37.02,115.49,812.58,3.17,7.71,20.21,0.31,3333.09,0.86,1.0,0.28,0.18,0.6,0.88,42.79,3.74,1.32,1
61.86,1.09,0.06,29.53,168.72,818.08,4.23,28.57,14.48,1.16,657.41,0.53,4.91,0.74,0.4,0.44,2.26,25.47,17.95,2.91,1
5,2,0,3,20,0,0,3,4,0.5,138,1,0,0.888888889,0.5,1,1,26.2,12,4.8,1
105.8,1.76,0.0,15.55,67.37,601.85,4.86,52.79,61.16,0.95,2127.35,0.61,6.86,0.04,0.4,0.33,2.17,59.38,16.7,2.01,1
82.85,1.25,0.07,43.16,124.11,1352.34,20.87,20.07,35.91,1.07,3227.71,0.69,7.54,0.0,0.24,0.12,0.11,57.84,16.78,1.88,1
75.18,1.66,0.04,7.22,82.92,74.58,3.61,31.1,13.09,1.13,1854.74,0.6,0.66,0.05,0.28,0.17,0.07,77.8,5.05,1.86,1
17.85,1.74,0.0,12.09,250.94,511.09,4.17,15.36,11.26,1.05,1359.8,0.49,3.9,0.42,0.41,0.99,4.73,76.46,6.99,1.4,1
75.2,1.34,0.04,25.14,69.28,1587.23,4.19,28.53,26.27,1.02,2214.46,0.73,10.78,0.01,0.37,0.41,0.43,33.1,15.24,4.65,1
96.83,1.4,0.0,26.16,246.36,1269.3,9.85,16.2,35.5,1.05,1708.04,0.69,1.19,0.07,0.21,0.61,1.93,26.39,9.17,1.58,1
13,2,0,8,32,52,4,4,11,0.933333333,1216,0.4,0,0.55,0.415384615,1,6,92.15384615,4,1.3846,1
48.11,1.11,0.99,15.35,85.23,502.03,4.76,11.59,16.48,1.45,701.33,0.5,8.62,0.59,0.25,0.44,2.29,47.01,13.05,3.31,1
6,1,0,5,25,7,2,3,4,0.75,230,1,0,0,0.55,0,0,36.66666667,9,2,2
34.53,1.14,0.0,11.33,163.67,408.35,3.86,6.88,25.36,0.4,183.41,0.88,0.15,0.01,0.46,0.3,0.02,27.99,6.37,1.35,1
20.4,1.74,0.14,5.89,28.99,999.55,17.93,14.89,14.92,0.63,182.41,0.79,4.1,0.86,0.47,0.5,0.64,42.61,14.79,2.23,1
28.44,1.44,0.05,44.46,141.35,2936.58,4.19,42.29,44.16,1.01,2662.32,0.67,9.67,0.1,0.26,0.23,0.27,110.24,21.7,1.69,1
103.88,1.59,0.0,31.21,146.33,666.05,6.4,26.02,57.91,0.87,1961.65,0.65,0.37,0.56,0.4,0.95,0.26,19.07,10.91,2.53,1
43.24,1.08,0.35,14.85,30.25,177.2,3.55,7.37,11.85,1.81,210.72,0.36,4.25,0.81,0.47,0.7,2.38,24.97,4.12,3.57,1
79.97,1.93,0.05,25.82,8.4,2036.89,3.04,22.28,15.25,1.31,3030.01,0.3,12.46,0.0,0.31,0.07,0.1,108.32,9.83,1.6,1
105.17,1.4,0.0,57.77,328.06,436.4,4.2,48.58,62.44,1.14,2730.96,0.53,0.52,0.01,0.16,0.39,0.19,9.18,9.09,1.4,1
41.99,1.67,0.0,39.55,152.45,994.67,4.11,33.92,39.1,0.76,2538.13,0.88,4.96,0.09,0.2,0.94,0.63,68.43,19.35,1.88,1
64.42,1.62,0.0,44.4,162.12,441.8,3.22,38.26,42.15,0.92,2257.09,0.69,2.76,0.02,0.19,0.37,0.68,16.37,25.12,1.58,1
37.76,1.69,0.0,12.22,152.48,2205.44,2.22,40.97,21.48,0.99,1062.24,0.93,1.43,0.88,0.49,0.49,0.85,33.64,7.8,2.35,1
37.24,1.19,0.01,26.3,70.23,1882.68,4.08,12.85,11.58,0.99,880.5,0.67,11.48,0.15,0.43,0.27,3.32,21.71,16.25,1.74,1
39.13,1.38,0.02,19.69,204.18,3496.08,4.62,32.07,36.9,0.96,1868.74,0.63,6.99,0.31,0.35,0.19,2.05,73.8,14.8,2.16,1
108,1,0,60,341,4268,5,55,75,0.93564753,3365,0.714285714,16,0,0.078971963,0,0,29.83333333,34,2.0556,1
20,1,0,4,39,0,3,1,19,0.978947368,140,0.133333333,1,0,0.258333333,0,0,5.25,1,0.95,1
107.58,1.0,0.0,25.25,47.47,1576.23,2.21,15.63,15.24,0.95,3010.79,0.91,0.88,0.0,0.16,0.0,0.0,24.48,31.95,3.52,1
14.92,1.2,0.04,37.02,115.49,812.58,3.17,7.71,20.21,0.31,3333.09,0.86,1.0,0.28,0.18,0.6,0.88,42.79,3.74,1.32,1
42.77,1.36,0.0,46.68,293.98,3956.87,4.85,47.7,63.92,0.93,2622.39,0.7,14.36,0.06,0.26,0.08,0.29,82.11,27.45,1.91,1
48.11,1.11,0.99,15.35,85.23,502.03,4.76,11.59,16.48,1.45,701.33,0.5,8.62,0.59,0.25,0.44,2.29,47.01,13.05,3.31,1
42.49,1.43,0.39,4.31,67.28,190.78,4.38,10.85,10.27,1.04,2713.03,0.38,0.39,0.04,0.54,0.06,0.0,131.35,9.22,1.3,1
