$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
10.83,2.52,1.22,11.97,47.48,799.67,2.65,10.58,25.28,0.8,706.24,0.63,0.59,0.31,0.38,0.76,1.3,41.78,1.42,1.12,1
16.63,1.15,2.99,13.72,42.23,92.42,5.02,3.46,7.89,0.69,533.64,0.55,0.64,0.06,0.2,0.56,0.96,26.57,2.27,0.73,1
12.53,2.07,0.41,11.93,59.99,1469.1,6.87,14.04,20.71,0.95,302.61,0.42,0.88,0.22,0.38,0.93,0.98,60.72,2.51,0.95,1
14.75,2.38,1.96,28.33,92.82,5296.89,5.78,13.98,17.66,1.17,1296.65,0.53,1.08,0.17,0.4,0.83,1.2,130.97,9.61,1.75,1
18.56,2.21,0.97,19.83,73.83,874.99,2.12,24.21,26.92,1.09,1175.23,0.58,0.11,0.37,0.4,0.5,1.36,68.29,7.1,1.49,1
9.12,2.85,0.0,10.84,60.0,267.96,2.04,3.94,26.02,0.87,407.08,0.57,0.0,0.58,0.4,0.09,1.36,14.92,2.69,1.03,1
16.89,3.37,2.68,13.45,71.6,3075.49,5.0,16.78,16.0,1.03,1313.13,0.68,0.93,0.09,0.34,1.33,1.5,109.48,2.96,1.15,1
26.21,1.82,7.55,14.79,82.78,5521.07,10.42,10.1,9.68,0.97,2784.31,0.56,0.74,0.35,0.24,0.18,0.51,85.92,2.76,2.08,1
40.86,1.07,0.94,36.26,65.37,5698.21,6.28,16.76,22.03,0.95,2085.97,0.43,1.02,0.12,0.31,0.03,0.27,40.59,10.33,1.3,1
28.33,1.33,0.39,11.77,59.11,1059.95,6.05,16.03,19.16,0.9,2435.18,0.52,0.85,0.1,0.33,0.35,1.34,51.02,4.25,1.15,1
24.54,1.47,1.08,11.11,69.07,1258.48,5.62,19.13,15.35,1.0,852.89,0.75,0.87,0.41,0.25,1.0,1.14,46.46,3.53,0.9,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
20.57,3.34,0.29,13.38,77.3,1389.19,5.06,16.92,14.64,1.38,1477.75,0.52,0.85,0.14,0.36,0.53,1.27,86.58,2.7,1.3,1
21.66,1.04,0.3,10.8,56.55,1222.6,5.48,16.03,13.88,0.96,196.11,0.1,0.85,0.14,0.37,0.03,0.17,46.26,1.83,0.77,1
25.46,1.89,1.19,17.83,69.61,1787.58,2.33,10.29,19.49,0.69,2255.58,0.86,0.99,0.04,0.22,0.3,0.48,35.29,4.44,1.54,1
16.73,2.5,1.04,17.7,70.14,2768.95,4.88,7.4,7.74,0.96,946.6,0.5,1.05,0.05,0.33,0.83,0.64,175.78,4.15,1.55,1
26.21,1.82,7.55,14.79,82.78,5521.07,10.42,10.1,9.68,0.97,2784.31,0.56,0.74,0.35,0.24,0.18,0.51,85.92,2.76,2.08,1
18.56,2.21,0.97,19.83,73.83,874.99,2.12,24.21,26.92,1.09,1175.23,0.58,0.11,0.37,0.4,0.5,1.36,68.29,7.1,1.49,1
20.57,3.34,0.29,13.38,77.3,1389.19,5.06,16.92,14.64,1.38,1477.75,0.52,0.85,0.14,0.36,0.53,1.27,86.58,2.7,1.3,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
18.56,2.21,0.97,19.83,73.83,874.99,2.12,24.21,26.92,1.09,1175.23,0.58,0.11,0.37,0.4,0.5,1.36,68.29,7.1,1.49,1
28.33,1.33,0.39,11.77,59.11,1059.95,6.05,16.03,19.16,0.9,2435.18,0.52,0.85,0.1,0.33,0.35,1.34,51.02,4.25,1.15,1
24.54,1.47,1.08,11.11,69.07,1258.48,5.62,19.13,15.35,1.0,852.89,0.75,0.87,0.41,0.25,1.0,1.14,46.46,3.53,0.9,1
21.66,1.04,0.3,10.8,56.55,1222.6,5.48,16.03,13.88,0.96,196.11,0.1,0.85,0.14,0.37,0.03,0.17,46.26,1.83,0.77,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
12.53,2.07,0.41,11.93,59.99,1469.1,6.87,14.04,20.71,0.95,302.61,0.42,0.88,0.22,0.38,0.93,0.98,60.72,2.51,0.95,1
20.57,3.34,0.29,13.38,77.3,1389.19,5.06,16.92,14.64,1.38,1477.75,0.52,0.85,0.14,0.36,0.53,1.27,86.58,2.7,1.3,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
24.54,1.47,1.08,11.11,69.07,1258.48,5.62,19.13,15.35,1.0,852.89,0.75,0.87,0.41,0.25,1.0,1.14,46.46,3.53,0.9,1
12.53,2.07,0.41,11.93,59.99,1469.1,6.87,14.04,20.71,0.95,302.61,0.42,0.88,0.22,0.38,0.93,0.98,60.72,2.51,0.95,1
24.54,1.47,1.08,11.11,69.07,1258.48,5.62,19.13,15.35,1.0,852.89,0.75,0.87,0.41,0.25,1.0,1.14,46.46,3.53,0.9,1
40.86,1.07,0.94,36.26,65.37,5698.21,6.28,16.76,22.03,0.95,2085.97,0.43,1.02,0.12,0.31,0.03,0.27,40.59,10.33,1.3,1
21.66,1.04,0.3,10.8,56.55,1222.6,5.48,16.03,13.88,0.96,196.11,0.1,0.85,0.14,0.37,0.03,0.17,46.26,1.83,0.77,1
28.33,1.33,0.39,11.77,59.11,1059.95,6.05,16.03,19.16,0.9,2435.18,0.52,0.85,0.1,0.33,0.35,1.34,51.02,4.25,1.15,1
18.56,2.21,0.97,19.83,73.83,874.99,2.12,24.21,26.92,1.09,1175.23,0.58,0.11,0.37,0.4,0.5,1.36,68.29,7.1,1.49,1
16.89,3.37,2.68,13.45,71.6,3075.49,5.0,16.78,16.0,1.03,1313.13,0.68,0.93,0.09,0.34,1.33,1.5,109.48,2.96,1.15,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
14.75,2.38,1.96,28.33,92.82,5296.89,5.78,13.98,17.66,1.17,1296.65,0.53,1.08,0.17,0.4,0.83,1.2,130.97,9.61,1.75,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
12.53,2.07,0.41,11.93,59.99,1469.1,6.87,14.04,20.71,0.95,302.61,0.42,0.88,0.22,0.38,0.93,0.98,60.72,2.51,0.95,1
12.53,2.07,0.41,11.93,59.99,1469.1,6.87,14.04,20.71,0.95,302.61,0.42,0.88,0.22,0.38,0.93,0.98,60.72,2.51,0.95,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
24.54,1.47,1.08,11.11,69.07,1258.48,5.62,19.13,15.35,1.0,852.89,0.75,0.87,0.41,0.25,1.0,1.14,46.46,3.53,0.9,1
18.56,2.21,0.97,19.83,73.83,874.99,2.12,24.21,26.92,1.09,1175.23,0.58,0.11,0.37,0.4,0.5,1.36,68.29,7.1,1.49,1
21.66,1.04,0.3,10.8,56.55,1222.6,5.48,16.03,13.88,0.96,196.11,0.1,0.85,0.14,0.37,0.03,0.17,46.26,1.83,0.77,1
21.66,1.04,0.3,10.8,56.55,1222.6,5.48,16.03,13.88,0.96,196.11,0.1,0.85,0.14,0.37,0.03,0.17,46.26,1.83,0.77,1
20.57,3.34,0.29,13.38,77.3,1389.19,5.06,16.92,14.64,1.38,1477.75,0.52,0.85,0.14,0.36,0.53,1.27,86.58,2.7,1.3,1
18.56,2.21,0.97,19.83,73.83,874.99,2.12,24.21,26.92,1.09,1175.23,0.58,0.11,0.37,0.4,0.5,1.36,68.29,7.1,1.49,1
26.21,1.82,7.55,14.79,82.78,5521.07,10.42,10.1,9.68,0.97,2784.31,0.56,0.74,0.35,0.24,0.18,0.51,85.92,2.76,2.08,1
28.33,1.33,0.39,11.77,59.11,1059.95,6.05,16.03,19.16,0.9,2435.18,0.52,0.85,0.1,0.33,0.35,1.34,51.02,4.25,1.15,1
24.45,1.84,0.44,18.36,58.38,1398.92,4.06,10.57,17.11,0.84,1770.84,0.39,0.86,0.07,0.34,0.16,0.38,40.95,4.42,1.01,1
