$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
9.14,1.66,1.36,19.64,19.44,8038.34,5.99,6.15,15.0,0.81,594.28,0.43,0.44,0.6,0.44,0.21,1.53,23.48,4.1,1.01,1
8,1,0,25,20,22,22,3,6,0.571428571,176,1,0,0,0.25,0,0,20.875,1,0.75,1
6,1,0,9,17,15,2,7,6,2,46,0,0,0,0.333333333,0,0,6.666666667,4,1.3333,2
11.48,4.17,4.22,8.41,35.36,798.15,7.08,2.34,77.09,0.03,594.66,0.85,0.98,0.54,0.36,0.03,0.04,10.61,2.68,0.53,2
116.63,3.71,5.01,34.93,85.1,7507.62,19.28,41.32,8.14,0.83,559.11,0.8,0.66,0.7,0.65,0.05,0.31,14.16,2.33,1.95,1
70.24,2.28,3.5,40.33,153.08,1214.96,3.5,51.48,8.01,1.14,35.48,0.37,0.67,0.62,0.42,0.08,0.87,12.02,3.09,1.1,1
2.38,1.95,4.6,25.63,17.62,626.81,21.62,4.41,39.44,1.24,998.58,0.17,1.81,0.83,0.18,0.96,0.73,5.15,1.71,1.04,1
64.91,2.95,6.15,54.12,148.82,8887.22,63.05,56.36,64.88,1.24,848.78,0.55,0.19,0.14,0.48,0.05,0.14,25.33,10.39,1.87,2
39.75,2.0,3.61,40.32,79.52,6493.99,6.5,25.32,76.25,1.4,1151.53,0.34,1.5,0.45,0.16,0.0,0.0,3.55,1.79,0.77,1
145.71,2.17,6.47,29.7,60.53,9174.92,19.49,40.69,121.59,1.67,2017.16,0.4,0.88,0.66,0.35,0.15,0.45,35.14,4.6,1.55,1
128.29,2.0,1.36,51.95,291.33,7069.5,55.31,35.99,105.25,0.89,2026.52,0.89,2.0,0.6,0.32,0.19,0.41,13.76,5.81,1.02,4
13.73,3.5,9.25,34.57,98.89,6380.08,53.31,11.2,88.16,1.62,1674.5,0.4,0.44,0.33,0.36,0.84,0.95,11.3,2.83,0.53,1
5.85,1.34,0.93,31.52,221.87,671.47,3.14,21.03,5.22,0.9,22.33,0.86,0.35,0.77,0.5,0.0,0.75,8.53,1.49,0.96,1
4,4,8,13,10,0,11,2,3,0.833333333,39,1,1,0.894736842,0.625,0,0,8.25,1,0.5,1
27,2,6,26,61,105,12,14,22,0.666666667,265,1,1,0.537037037,0.113756614,1,3,8.703703704,4,1.0741,8
128.17,1.86,6.21,21.57,77.64,10605.1,21.48,16.92,75.81,0.79,1305.61,0.81,1.8,0.1,0.43,0.62,0.11,12.0,4.8,1.06,1
161.79,3.5,11.34,31.0,224.05,2497.07,36.31,25.58,86.01,0.76,138.24,0.9,1.76,0.34,0.25,0.0,0.0,11.38,3.25,0.75,1
72.55,1.91,5.99,15.45,201.98,3363.69,42.4,4.04,40.18,0.72,1485.57,0.99,0.93,0.56,0.28,0.79,0.59,9.41,1.46,0.8,1
62.66,1.97,10.72,87.94,132.24,9504.58,60.2,21.58,107.84,0.71,880.81,1.0,1.88,0.05,0.26,0.0,0.0,13.82,3.16,0.97,1
114.96,1.41,4.4,52.64,72.2,92.88,41.39,19.93,66.33,1.14,707.09,0.1,0.59,0.24,0.42,0.0,0.0,5.77,2.21,1.89,1
152.24,2.29,10.04,81.86,235.89,2532.23,11.65,70.15,136.85,0.97,1602.4,0.88,2.15,0.3,0.34,0.05,0.41,10.75,6.96,1.21,2
