$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
27,1,0,6,27,351,1,5,27,2,27,0,0,0,0.412037037,0,0,0,1,1,3
8,2,0,10,28,0,1,9,3,0.357142857,224,1,3,0.684210526,0.371428571,1,1,26.5,2,1,9
2,1,0,2,5,1,1,1,1,2,22,0,0,0,0.5,0,0,7,3,1.5,2
7,2,0,11,11,15,4,10,6,0.5,44,1,0,0.772727273,0.265306122,0,0,5.142857143,1,0.7143,2
13,2,0,12,37,42,4,9,13,0.611111111,175,1,1,0.885714286,0.276923077,1,4,12.23076923,3,1.1538,6
20,2,1,16,74,68,2,15,11,0.864661654,537,0.714285714,3,0.419354839,0.173684211,1,1,25.15,12,1.55,4
2,4,6,8,7,0,6,2,2,1,23,1,1,0.944444444,0.666666667,0,0,9.5,1,0.5,1
6,3,0,8,15,15,2,6,6,2,42,0,0,0.971428571,0.416666667,2,3,6,1,0.5,2
15.69,1.17,1.92,93.98,26.16,2365.7,11.67,18.5,27.63,1.28,831.95,0.7,1.76,0.74,0.35,0.19,0.47,7.86,1.12,1.04,10
7,2,0,7,25,0,1,6,5,0.166666667,153,1,1,0.684210526,0.357142857,1,1,20.57142857,4,1.2857,2
3,2,0,4,10,3,1,3,2,2,32,0,0,0.6,0.666666667,0,0,9.666666667,1,0.6667,2
8,1,0,7,32,28,0,7,4,2,237,0,0,0,0.625,0,0,28.625,11,3,2
19,1,15,32,38,139,21,11,16,0.822222222,216,1,3,0,0.175438596,1,1,10.10526316,5,1.4737,4
6,1,0,6,7,15,1,5,6,2,14,0,0,0,0.361111111,0,0,1.333333333,1,0.8333,4
29.85,1.0,9.38,52.02,128.3,1112.67,15.13,40.73,74.35,0.67,462.14,0.91,2.1,0.0,0.5,0.0,0.0,9.45,2.0,1.06,14
18,1,0,9,44,85,1,8,10,0.739495798,242,1,3,0,0.205882353,0,0,12.05555556,5,1.3889,1
4,4,15,49,8,6,49,0,4,1.333333333,21,1,0,1,0.666666667,0,0,4,0,0,1
2,1,0,2,19,1,1,1,2,2,121,0,0,0,0.666666667,0,0,59.5,13,6.5,1
9,2,0,11,14,26,3,11,6,0.833333333,57,0.666666667,1,0.708333333,0.229166667,0,0,5,1,0.7778,1
3,2,0,5,4,3,2,3,3,2,10,0,0,0.5,0.666666667,0,0,2.333333333,1,0.6667,1
9,2,0,40,23,32,39,2,7,0.975,240,0.2,9,0.631578947,0.375,1,1,24.55555556,4,1.8889,1
22,1,0,2,42,189,1,1,22,0.841269841,182,1,0,0,0.171717172,0,0,7,7,1.2273,2
19.75,1.0,0.24,233.56,15.07,7.72,234.07,3.81,6.42,0.32,25.56,0.84,0.0,0.0,0.2,0.0,0.0,1.25,1.0,0.95,1
22,3,0,20,65,151,5,18,15,0.846560847,401,0.777777778,6,0.457142857,0.155844156,1,1,16.81818182,10,1.5455,7
7,2,0,6,17,9,1,5,4,0.75,75,1,3,0.923076923,0.333333333,0,0,9.142857143,2,0.8571,1
5,1,0,5,5,10,3,2,5,2,5,0,0,0,0.55,0,0,0,1,1,2
37,3,0,21,61,598,8,19,34,0.932539683,335,1,2,0.375,0.143939394,1,1,7.675675676,6,1.2162,8
36.72,1.43,1.06,22.53,93.78,1265.25,23.17,28.52,84.57,0.9,428.91,0.85,2.07,0.02,0.09,0.56,2.52,9.71,2.91,1.07,15
14,1,1,7,26,79,2,5,12,0.788461538,118,1,2,0,0.256410256,0,0,7.142857143,3,1.1429,3
14,1,0,4,21,91,0,4,13,0.538461538,105,1,2,0,0.964285714,0,0,6.357142857,2,1,5
8,2,0,7,23,14,1,7,7,0.642857143,101,1,2,0.666666667,0.326530612,0,0,11.375,1,0.375,1
3,5,0,1,9,0,0,1,3,0.5,33,1,0,0.894736842,0.555555556,0,0,9.333333333,1,0.6667,1
11,3,0,8,30,37,1,8,10,0.525,212,1,1,0.907407407,0.272727273,1,14,17.90909091,6,1.6364,5
30.7,1.15,0.06,219.22,55.91,1083.57,23.11,4.6,23.44,1.95,344.67,0.34,0.97,0.0,0.26,0.26,0.01,1.26,1.14,1.04,6
2,1,0,5,2,1,4,2,2,2,2,0,0,0,1,0,0,0,1,1,1
53.52,1.0,4.04,69.21,106.9,2231.37,119.99,44.14,39.03,1.01,974.56,0.64,1.37,0.0,0.12,0.0,0.0,7.04,1.94,1.09,15
4,3,0,9,11,6,6,4,4,2,25,0,0,0.97029703,0.625,1,2,5.25,1,0.75,3
