$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
8.2,1.22,3.0,12.51,59.22,149.88,15.54,4.66,18.24,1.0,276.01,0.15,1.61,0.12,0.46,0.65,2.22,14.03,5.42,2.06,2
17.82,1.84,2.49,45.95,81.08,262.99,4.37,6.04,15.55,0.69,271.42,0.45,2.83,0.81,0.44,0.82,0.58,15.73,3.48,1.56,4
7.08,1.47,2.0,8.98,23.88,89.18,4.39,2.51,7.04,0.97,105.52,0.1,0.0,0.91,0.38,0.92,0.4,16.74,3.0,1.38,1
8.9,1.17,1.52,9.97,43.42,78.77,22.03,1.76,12.77,0.47,391.24,0.24,2.67,0.59,0.47,0.02,0.48,17.6,5.21,2.35,2
12,1,0,12,41,0,10,2,9,0.666666667,275,0,0,0,0.090909091,0,0,21.66666667,6,2.25,1
19.58,1.27,2.01,25.22,59.8,366.51,7.15,7.12,13.46,0.89,463.71,0.29,2.69,0.27,0.24,0.43,0.17,16.47,3.15,1.42,4
6,1,0,7,21,0,5,2,5,0.9,274,0.2,0,0,0.466666667,0,0,43,5,2.8333,1
11.98,1.19,0.62,30.87,19.5,206.59,23.03,6.7,24.82,0.89,97.99,0.62,0.44,0.04,0.38,0.32,2.85,14.17,3.03,1.75,3
9,1,0,53,27,20,50,4,6,0.894230769,151,0.076923077,2,0,0.232142857,0,0,14.33333333,3,1.3333,2
22.22,1.0,2.85,30.98,72.98,486.2,33.41,11.42,23.6,1.03,234.27,0.4,3.99,0.0,0.25,0.0,0.0,16.33,2.74,1.19,6
6,2,0,5,24,9,0,5,6,0.92,241,0.8,0,0.615384615,0.444444444,1,1,38.33333333,5,1.8333,1
7,1,0,5,35,15,0,5,2,0.75,179,0,1,0,0.25,0,0,24,2,1,1
20,2,2,17,46,58,9,8,15,0.649122807,413,0.666666667,2,0.545454545,0.2375,1,3,19.2,7,1.65,1
33.57,1.64,0.3,21.19,38.76,106.72,21.25,6.59,16.7,0.86,671.26,0.22,1.11,0.12,0.27,0.46,1.22,21.73,4.26,2.03,3
49,1,3,60,96,688,53,12,42,0.828947368,800,0.473684211,5,0,0.150641026,0,0,14.93877551,6,2.1429,9
8.43,1.08,0.0,10.51,23.81,40.07,13.86,12.07,7.85,1.16,537.22,0.0,0.81,0.12,0.47,0.11,0.14,35.08,5.63,2.12,1
14,2,0,6,26,83,1,5,10,0.871794872,157,1,0,0.72,0.384615385,1,1,9.785714286,4,0.7143,1
13,2,0,9,62,52,0,9,8,0.939814815,449,0,2,0.620689655,0.346153846,2,3,32.15384615,10,2.3846,3
19,2,0,28,79,153,16,14,9,0.939814815,754,0.25,1,0.4,0.257309942,1,1,38.05263158,10,2.4211,2
32.09,1.45,1.77,17.87,58.61,206.61,6.95,3.75,22.52,1.03,585.38,0.3,1.43,0.23,0.53,0.13,2.88,1.86,1.04,1.84,3
22,2,0,19,95,223,6,15,8,1.013605442,1176,0,0,0.375,0.216450216,1,1,51.18181818,11,3.2273,3
5,1,3,8,6,10,6,2,5,1.25,13,0,1,0,0.466666667,0,0,0.8,1,0.8,1
14,2,0,8,43,41,3,6,10,0.846153846,359,0.153846154,1,0.620689655,0.244897959,2,3,23.71428571,6,1.6429,1
12.14,1.33,0.5,7.22,44.09,2.25,0.99,6.87,7.15,0.69,330.75,0.27,2.86,0.29,0.25,0.74,1.6,32.55,3.26,1.63,1
6.01,1.0,0.0,11.03,21.0,6.8,1.32,13.85,3.42,1.69,238.39,0.39,1.36,0.0,0.37,0.0,0.0,57.87,9.39,1.11,2
7,1,0,3,27,5,0,3,2,0.566666667,196,0,1,0,0.333333333,0,0,26.28571429,4,1.7143,1
13,1,0,22,54,76,20,6,10,0.861111111,537,0,0,0,0.183333333,0,0,39.84615385,11,3,3
7,1,0,4,13,0,3,1,7,0.366666667,236,0,1,0,0.523809524,0,0,32,6,2.5714,1
10.71,1.77,0.0,34.15,29.4,17.12,5.32,7.7,8.45,0.88,161.22,0.04,2.01,0.58,0.3,0.36,0.37,13.17,3.84,1.33,3
4,2,0,4,8,0,0,4,4,0.916666667,69,0,1,0.571428571,0.5,0,0,15.25,4,2,1
15.1,1.89,0.0,13.99,30.03,98.05,7.58,13.56,7.86,0.95,488.27,0.26,0.29,0.24,0.28,0.28,0.43,14.37,5.65,2.02,1
5,2,2,5,17,2,4,1,2,0.625,95,0.333333333,0,0.938461538,0.466666667,1,1,16.8,3,1.4,2
12,1,0,21,43,24,15,7,9,0.704545455,346,0.25,3,0,0.272727273,0,0,27.5,6,2.1667,2
8,1,0,4,38,24,0,4,2,0.714285714,322,0,1,0,0.214285714,0,0,39,2,1,1
32.09,1.45,1.77,17.87,58.61,206.61,6.95,3.75,22.52,1.03,585.38,0.3,1.43,0.23,0.53,0.13,2.88,1.86,1.04,1.84,3
6.01,1.0,0.0,11.03,21.0,6.8,1.32,13.85,3.42,1.69,238.39,0.39,1.36,0.0,0.37,0.0,0.0,57.87,9.39,1.11,2
10.71,1.77,0.0,34.15,29.4,17.12,5.32,7.7,8.45,0.88,161.22,0.04,2.01,0.58,0.3,0.36,0.37,13.17,3.84,1.33,3
11.98,1.19,0.62,30.87,19.5,206.59,23.03,6.7,24.82,0.89,97.99,0.62,0.44,0.04,0.38,0.32,2.85,14.17,3.03,1.75,3
17.82,1.84,2.49,45.95,81.08,262.99,4.37,6.04,15.55,0.69,271.42,0.45,2.83,0.81,0.44,0.82,0.58,15.73,3.48,1.56,4
8.2,1.22,3.0,12.51,59.22,149.88,15.54,4.66,18.24,1.0,276.01,0.15,1.61,0.12,0.46,0.65,2.22,14.03,5.42,2.06,2
12.14,1.33,0.5,7.22,44.09,2.25,0.99,6.87,7.15,0.69,330.75,0.27,2.86,0.29,0.25,0.74,1.6,32.55,3.26,1.63,1
15.1,1.89,0.0,13.99,30.03,98.05,7.58,13.56,7.86,0.95,488.27,0.26,0.29,0.24,0.28,0.28,0.43,14.37,5.65,2.02,1
8.2,1.22,3.0,12.51,59.22,149.88,15.54,4.66,18.24,1.0,276.01,0.15,1.61,0.12,0.46,0.65,2.22,14.03,5.42,2.06,2
22.22,1.0,2.85,30.98,72.98,486.2,33.41,11.42,23.6,1.03,234.27,0.4,3.99,0.0,0.25,0.0,0.0,16.33,2.74,1.19,6
8.43,1.08,0.0,10.51,23.81,40.07,13.86,12.07,7.85,1.16,537.22,0.0,0.81,0.12,0.47,0.11,0.14,35.08,5.63,2.12,1
8.9,1.17,1.52,9.97,43.42,78.77,22.03,1.76,12.77,0.47,391.24,0.24,2.67,0.59,0.47,0.02,0.48,17.6,5.21,2.35,2
8.9,1.17,1.52,9.97,43.42,78.77,22.03,1.76,12.77,0.47,391.24,0.24,2.67,0.59,0.47,0.02,0.48,17.6,5.21,2.35,2
17.82,1.84,2.49,45.95,81.08,262.99,4.37,6.04,15.55,0.69,271.42,0.45,2.83,0.81,0.44,0.82,0.58,15.73,3.48,1.56,4
8.9,1.17,1.52,9.97,43.42,78.77,22.03,1.76,12.77,0.47,391.24,0.24,2.67,0.59,0.47,0.02,0.48,17.6,5.21,2.35,2
8.9,1.17,1.52,9.97,43.42,78.77,22.03,1.76,12.77,0.47,391.24,0.24,2.67,0.59,0.47,0.02,0.48,17.6,5.21,2.35,2
19.58,1.27,2.01,25.22,59.8,366.51,7.15,7.12,13.46,0.89,463.71,0.29,2.69,0.27,0.24,0.43,0.17,16.47,3.15,1.42,4
19.58,1.27,2.01,25.22,59.8,366.51,7.15,7.12,13.46,0.89,463.71,0.29,2.69,0.27,0.24,0.43,0.17,16.47,3.15,1.42,4
19.58,1.27,2.01,25.22,59.8,366.51,7.15,7.12,13.46,0.89,463.71,0.29,2.69,0.27,0.24,0.43,0.17,16.47,3.15,1.42,4
17.82,1.84,2.49,45.95,81.08,262.99,4.37,6.04,15.55,0.69,271.42,0.45,2.83,0.81,0.44,0.82,0.58,15.73,3.48,1.56,4
33.57,1.64,0.3,21.19,38.76,106.72,21.25,6.59,16.7,0.86,671.26,0.22,1.11,0.12,0.27,0.46,1.22,21.73,4.26,2.03,3
8.2,1.22,3.0,12.51,59.22,149.88,15.54,4.66,18.24,1.0,276.01,0.15,1.61,0.12,0.46,0.65,2.22,14.03,5.42,2.06,2
8.43,1.08,0.0,10.51,23.81,40.07,13.86,12.07,7.85,1.16,537.22,0.0,0.81,0.12,0.47,0.11,0.14,35.08,5.63,2.12,1
17.82,1.84,2.49,45.95,81.08,262.99,4.37,6.04,15.55,0.69,271.42,0.45,2.83,0.81,0.44,0.82,0.58,15.73,3.48,1.56,4
32.09,1.45,1.77,17.87,58.61,206.61,6.95,3.75,22.52,1.03,585.38,0.3,1.43,0.23,0.53,0.13,2.88,1.86,1.04,1.84,3
33.57,1.64,0.3,21.19,38.76,106.72,21.25,6.59,16.7,0.86,671.26,0.22,1.11,0.12,0.27,0.46,1.22,21.73,4.26,2.03,3
17.82,1.84,2.49,45.95,81.08,262.99,4.37,6.04,15.55,0.69,271.42,0.45,2.83,0.81,0.44,0.82,0.58,15.73,3.48,1.56,4
8.9,1.17,1.52,9.97,43.42,78.77,22.03,1.76,12.77,0.47,391.24,0.24,2.67,0.59,0.47,0.02,0.48,17.6,5.21,2.35,2
7.08,1.47,2.0,8.98,23.88,89.18,4.39,2.51,7.04,0.97,105.52,0.1,0.0,0.91,0.38,0.92,0.4,16.74,3.0,1.38,1
19.58,1.27,2.01,25.22,59.8,366.51,7.15,7.12,13.46,0.89,463.71,0.29,2.69,0.27,0.24,0.43,0.17,16.47,3.15,1.42,4
19.58,1.27,2.01,25.22,59.8,366.51,7.15,7.12,13.46,0.89,463.71,0.29,2.69,0.27,0.24,0.43,0.17,16.47,3.15,1.42,4
8.9,1.17,1.52,9.97,43.42,78.77,22.03,1.76,12.77,0.47,391.24,0.24,2.67,0.59,0.47,0.02,0.48,17.6,5.21,2.35,2
17.82,1.84,2.49,45.95,81.08,262.99,4.37,6.04,15.55,0.69,271.42,0.45,2.83,0.81,0.44,0.82,0.58,15.73,3.48,1.56,4
10,2,0,2,37,23,0,2,7,0.833333333,301,0,1,0.884057971,0.2,0,0,28.1,4,1.7,0
2,1,0,0,3,1,0,0,2,2,6,0,0,0,0.5,0,0,2,1,0.5,0
5,1,0,0,16,0,0,0,2,0.208333333,268,0,0,0,0.333333333,0,0,51.4,4,2,0
3,1,0,0,14,3,0,0,2,2,133,0,0,0,0.333333333,0,0,43.33333333,4,1.6667,0
4,2,0,2,5,6,0,2,4,2,12,0,0,0.571428571,0.5,0,0,2,1,0.75,0
13,1,0,4,40,8,0,4,2,0.697916667,516,0,4,0,0.15,0,0,38.07692308,7,2.7692,0
9,1,0,5,19,10,3,2,7,0.375,120,0,1,0,0.4375,0,0,12.11111111,4,1.6667,0
3,3,0,1,7,1,1,0,3,0.5,20,1,0,0.951219512,0.444444444,1,3,5.333333333,1,0.6667,0
3,1,0,9,10,0,8,1,1,0,49,0,0,0,1,0,0,14.33333333,1,0.6667,0
2,1,0,3,20,1,0,3,2,2,85,0,0,0,0.5,0,0,41.5,6,3,0
4,2,0,2,9,0,1,1,2,1,62,0,2,0.8,0.555555556,1,1,13,4,1.75,0
4,4,0,3,10,0,1,2,4,0.5,41,0,0,0.875,0.5,2,2,8.75,1,0.75,0
1,2,0,1,2,0,0,1,0,2,4,0,0,0,1,0,0,3,0,0,0
2,1,0,3,22,1,1,2,2,2,128,0,0,0,0.75,0,0,63,5,2.5,0
7,1,0,2,26,17,0,2,2,0.666666667,131,0,1,0,0.277777778,0,0,17.42857143,2,1,0
4,4,0,3,15,4,2,1,4,0.333333333,80,0,0,0.953488372,0.357142857,1,3,18.75,2,0.75,0
5,1,0,1,7,8,1,0,3,0.75,22,1,1,0,0.75,0,0,3.2,1,0.6,0
7,1,0,2,21,17,0,2,2,0.666666667,90,0,1,0,0.277777778,0,0,11.57142857,2,1,0
5,1,0,1,17,0,0,1,2,0.5,163,0,1,0,0.25,0,0,30.8,3,1.4,0
8,3,0,7,25,0,2,5,8,0.795918367,217,0.571428571,0,0.714285714,0.40625,1,1,25.25,5,1.625,0
7,1,0,2,32,15,0,2,1,0.625,168,0,1,0,0.277777778,0,0,22.42857143,2,1.1429,0
4,4,0,3,12,6,2,1,4,2,99,0,0,0.953488372,0.357142857,1,3,23.75,3,1,0
5,1,0,0,14,4,0,0,2,0.25,80,0,0,0,0.25,0,0,14.8,2,1,0
8,1,0,7,42,14,0,7,2,0.75,308,0,2,0,0.238095238,0,0,37,4,1.5,0
7,1,0,6,22,11,0,6,3,0.666666667,107,0,1,0,0.375,0,0,13.85714286,2,0.8571,0
8,2,0,0,10,28,0,0,8,2,21,0,0,0.65,0.46875,1,2,1.625,1,0.875,0
2,1,0,2,16,1,0,2,2,2,100,0,0,0,0.75,0,0,49,3,1.5,0
2,2,0,4,11,0,1,3,1,0,67,0,2,0.983870968,0.666666667,0,0,31.5,5,2.5,0
0,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2,3,0,4,5,1,1,4,1,2,14,0,0,0.984848485,0.75,1,1,6,1,0.5,0
2,1,0,2,4,1,1,1,1,2,8,0,0,0,0.75,0,0,3,1,0.5,0
6,1,0,3,25,13,0,3,2,0.7,202,0,0,0,0.277777778,0,0,32.33333333,2,1.3333,0
19,2,0,10,69,129,2,8,13,0.885964912,675,0.105263158,2,0.514285714,0.233082707,1,3,33.52631579,11,2.1579,0
9,2,0,4,37,8,0,4,7,0.822916667,314,0,1,0.897058824,0.21875,0,0,32.55555556,7,2,0
5,1,0,0,15,8,0,0,1,0.833333333,479,0,0,0,0.3125,0,0,94.2,7,2,0
5,3,0,3,18,4,0,3,3,0.5,76,0,0,0.916666667,0.36,1,7,14,4,1.2,0
7,1,0,4,32,17,0,4,2,0.666666667,155,0,1,0,0.277777778,0,0,20.85714286,2,1,0
4,1,0,2,12,4,0,2,2,0.833333333,38,0,1,0,0.333333333,0,0,8,1,0.5,0
5,1,0,7,41,2,1,7,5,0.375,250,0,3,0,0.4,0,0,47.8,3,1.6,0
5,1,0,1,14,8,0,1,2,0.875,45,0,1,0,0.333333333,0,0,7.6,1,0.6,0
4,1,0,7,27,4,0,7,2,0.666666667,134,0,0,0,0.333333333,0,0,32.25,3,1.5,0
5,2,0,3,11,0,1,2,4,0.25,37,0,1,0.8,0.533333333,1,1,6.2,1,0.8,0
5,1,0,8,26,10,0,8,2,2,508,0,0,0,0.266666667,0,0,100.6,3,1.4,0
3,2,0,4,6,3,2,3,3,2,25,0,0,0.959183673,0.833333333,1,6,7.333333333,2,1,0
6,2,0,6,12,13,3,3,6,0.8,54,0,0,0.615384615,0.444444444,0,0,7.833333333,1,0.8333,0
0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
6,1,0,5,6,15,4,1,6,2,6,0,0,0,0.555555556,0,0,0,1,1,0
4,1,0,1,11,2,1,0,2,0.777777778,61,0,0,0,0.5,1,1,13.5,6,2,0
7,1,0,3,25,17,0,3,2,0.833333333,105,0,1,0,0.277777778,0,0,13.57142857,2,1.1429,0
2,1,0,4,15,0,1,3,2,0.25,77,0,1,0,0.666666667,0,0,35.5,2,1,0
5,1,0,7,31,10,0,7,2,0.875,145,0,0,0,0.3,0,0,27.6,3,1.4,0
2,1,0,4,4,1,2,2,1,2,10,0,0,0,0.75,0,0,4,1,0.5,0
4,4,0,3,8,0,1,2,4,0.333333333,38,1,0,0.875,0.4,2,2,8.25,1,0.75,0
0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,1,0,1,35,0,0,1,11,0.083333333,236,0,1,0,0.297619048,0,0,17,1,0.8462,0
