$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
46.95,2.28,0.0,20.8,74.41,1254.15,5.68,4.21,46.81,1.15,4490.14,0.95,4.24,0.96,0.76,0.0,0.0,31.96,1.77,0.59,1
25,3,3,13,67,34,3,11,14,0.638888889,1120,0.833333333,3,0.684931507,0.205,2,22,43.56,11,2.28,2
43.4,1.08,0.06,38.53,62.9,636.28,7.44,17.36,13.06,1.65,2007.4,0.23,4.37,0.18,0.74,0.02,1.61,8.45,3.94,1.3,1
22.48,3.27,0.87,8.9,64.37,185.62,4.9,7.83,13.79,1.65,1613.94,0.6,4.93,0.52,0.52,0.71,1.95,13.73,2.68,2.22,1
69.66,1.54,0.03,23.65,165.0,446.15,1.38,2.58,26.44,1.01,4011.71,0.62,4.33,0.16,0.48,0.0,0.0,8.57,14.31,0.83,1
17.75,4.68,1.0,3.88,33.28,28.92,2.32,2.24,6.5,1.79,246.55,0.35,0.03,0.74,0.88,0.0,0.0,10.53,4.93,0.74,1
34.69,1.09,0.21,42.26,42.64,1066.93,3.01,23.33,17.74,1.95,1825.3,0.83,10.47,0.1,0.44,0.09,0.07,4.3,1.07,1.17,1
44.08,1.04,0.08,10.25,106.08,1865.14,3.95,33.92,24.55,1.17,2218.73,0.88,33.97,0.02,0.23,0.04,0.19,30.33,10.12,1.0,1
11.79,4.91,0.01,5.82,124.3,619.14,1.42,1.25,3.98,1.92,1490.61,0.02,10.31,0.92,0.39,0.0,0.0,28.13,0.52,0.77,1
29.25,1.07,0.05,11.66,63.54,1231.12,2.29,37.83,30.41,1.4,1704.61,0.73,4.28,0.09,0.52,0.36,0.76,4.35,8.3,1.23,1
7,2,1,5,12,15,3,3,7,0.916666667,80,0.75,0,0.88,0.523809524,1,4,9.857142857,3,1.8571,1
