$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,$<bug
15.33,1.8,0.78,17.12,54.73,391.38,54.4,8.38,18.25,0.85,371.27,0.63,0.85,0.16,0.26,0.37,0.96,23.89,12.35,2.02,1
17.22,2.92,0.69,12.36,56.82,21.68,8.43,7.2,13.16,0.67,685.6,0.64,0.84,0.62,0.3,1.16,2.9,26.71,2.13,2.72,2
3,3,0,3,14,1,0,3,3,0.5,84,1,0,0.948717949,0.666666667,1,1,26.66666667,1,0.6667,1
14.89,1.97,0.0,12.51,63.46,63.71,10.35,4.17,9.0,0.85,808.52,0.47,0.97,0.63,0.34,0.06,0.45,45.64,14.2,2.38,2
23.62,1.72,1.24,28.06,73.76,189.35,22.12,5.14,27.98,0.91,698.36,0.89,1.56,0.02,0.29,2.23,0.89,23.86,10.09,3.48,1
23.26,2.14,0.37,20.39,49.43,438.09,68.01,5.19,13.33,0.69,826.73,0.96,2.24,0.52,0.37,0.47,1.0,27.26,7.4,3.07,1
14.07,2.11,2.78,19.99,67.13,1.99,9.61,10.34,12.97,0.64,392.93,1.0,4.11,0.26,0.24,0.15,0.91,70.14,13.68,2.65,1
9.28,2.02,0.15,7.33,51.44,154.83,26.86,6.7,4.49,0.81,517.69,0.89,0.34,0.18,0.34,0.61,0.83,67.08,3.96,1.5,1
6,3,0,10,33,0,3,8,5,0.466666667,198,1,1,0.880952381,0.333333333,2,4,31.5,2,1,3
4.08,2.71,0.17,25.22,40.83,368.14,52.48,5.84,8.24,0.78,252.34,0.99,0.94,0.77,0.54,0.98,0.98,26.44,3.91,1.49,1
21.82,1.12,0.01,25.54,69.95,722.78,25.16,12.04,9.14,0.8,594.42,0.76,0.93,0.26,0.25,0.09,0.15,36.37,21.58,2.47,2
17.58,1.0,2.39,20.09,95.46,359.07,55.04,7.01,24.74,0.92,1880.65,0.59,1.85,0.0,0.21,0.0,0.0,23.61,11.34,3.48,1
